PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt117,39.22,0.02,20.35,0.02,26.17,0.6,7.53,6.39,Garnet
Sample1_pt118,39.14,0.09,20.65,0.0,26.48,0.67,7.32,6.45,Garnet
Sample1_pt119,39.19,0.07,20.45,0.01,26.2,0.65,7.37,6.55,Garnet
Sample1_pt120,39.06,0.03,20.73,0.0,26.21,0.68,7.3,6.22,Garnet
Sample1_pt121,39.07,0.07,20.55,0.0,26.71,0.61,7.15,6.43,Garnet
Sample1_pt122,39.41,0.08,20.17,0.0,26.67,0.62,7.32,6.64,Garnet
Sample1_pt123,38.96,0.01,20.43,0.03,26.54,0.53,7.31,6.59,Garnet
Sample1_pt124,39.22,0.01,20.58,0.0,26.46,0.65,7.4,6.47,Garnet
Sample1_pt125,39.17,0.0,20.2,0.01,26.64,0.72,7.45,6.47,Garnet
Sample1_pt126,38.77,0.09,20.53,0.01,26.66,0.61,7.28,6.54,Garnet
Sample1_pt127,38.52,0.02,20.63,0.04,26.52,0.6,7.32,6.48,Garnet
Sample1_pt128,39.1,0.01,20.65,0.02,26.46,0.61,7.33,6.37,Garnet
Sample1_pt129,39.07,0.01,20.75,0.0,26.09,0.66,7.14,6.58,Garnet
Sample1_pt130,38.95,0.01,20.53,0.0,26.67,0.68,7.28,6.58,Garnet
Sample1_pt131,38.97,0.03,20.7,0.0,26.7,0.58,7.2,6.6,Garnet
Sample1_pt132,38.99,0.03,20.56,0.0,26.61,0.57,7.3,6.48,Garnet
Sample1_pt133,38.84,0.02,20.5,0.11,26.02,0.58,7.36,6.63,Garnet
Sample1_pt134,39.02,0.01,20.34,0.0,26.4,0.68,7.34,6.65,Garnet
Sample1_pt135,38.57,0.07,20.69,0.0,26.48,0.64,7.16,6.58,Garnet
Sample1_pt136,39.51,0.08,20.74,0.01,26.59,0.65,7.28,6.47,Garnet
Sample1_pt137,38.83,0.04,20.68,0.0,26.28,0.63,7.09,6.6,Garnet
Sample1_pt138,39.12,0.0,20.69,0.02,26.67,0.68,7.52,6.49,Garnet
Sample1_pt139,38.99,0.0,20.48,0.01,26.57,0.59,7.36,6.59,Garnet
Sample1_pt140,39.3,0.0,20.85,0.0,26.54,0.57,7.26,6.63,Garnet
Sample1_pt141,39.03,0.02,20.9,0.0,26.5,0.63,7.19,6.67,Garnet
