PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt1,38.76,0.24,20.37,0.28,26.81,0.94,6.55,6.28,Garnet
Sample1_pt2,38.85,0.16,20.52,0.22,26.83,0.92,6.58,6.39,Garnet
Sample1_pt3,38.81,0.19,20.44,0.21,27.06,0.85,6.63,6.23,Garnet
Sample1_pt4,38.59,0.1,20.48,0.24,27.16,0.89,6.75,6.15,Garnet
Sample1_pt5,38.75,0.18,20.36,0.15,26.86,0.88,6.75,6.28,Garnet
Sample1_pt6,38.91,0.2,20.43,0.2,26.82,0.92,6.74,6.27,Garnet
Sample1_pt7,38.45,0.05,20.84,0.07,26.63,0.87,7.01,6.03,Garnet
Sample1_pt8,38.51,0.09,20.66,0.08,26.78,0.86,6.89,6.16,Garnet
Sample1_pt9,38.99,0.09,20.73,0.08,26.85,0.89,6.9,6.22,Garnet
Sample1_pt10,38.3,0.08,20.55,0.09,27.08,0.82,6.91,6.21,Garnet
Sample1_pt11,38.57,0.08,20.28,0.01,26.71,0.81,6.92,6.11,Garnet
Sample1_pt12,38.75,0.09,20.52,0.07,27.44,0.88,7.03,6.15,Garnet
Sample1_pt13,38.39,0.03,20.58,0.0,27.31,0.82,6.9,6.08,Garnet
Sample1_pt14,38.47,0.05,20.76,0.06,27.0,0.87,6.88,6.16,Garnet
Sample1_pt15,38.48,0.05,20.48,0.08,26.96,0.81,6.99,6.19,Garnet
Sample1_pt16,38.63,0.13,20.6,0.0,26.56,0.84,6.83,6.2,Garnet
Sample1_pt17,38.96,0.07,20.62,0.04,26.89,0.84,7.05,6.27,Garnet
Sample1_pt18,38.99,0.08,20.67,0.0,26.82,0.76,6.95,6.2,Garnet
Sample1_pt19,38.72,0.07,20.52,0.05,26.78,0.77,7.07,6.31,Garnet
Sample1_pt20,38.93,0.06,20.43,0.0,26.86,0.77,7.13,6.04,Garnet
Sample1_pt21,38.87,0.05,20.46,0.02,26.89,0.75,6.94,6.06,Garnet
Sample1_pt22,38.64,0.05,20.82,0.03,26.72,0.81,6.95,6.18,Garnet
Sample1_pt23,39.14,0.0,20.72,0.0,26.76,0.78,7.11,6.42,Garnet
Sample1_pt24,38.33,0.05,21.41,0.0,27.21,0.71,7.15,6.2,Garnet
Sample1_pt25,38.52,0.0,20.68,0.05,26.79,0.73,6.98,6.23,Garnet
Sample1_pt26,38.64,0.06,20.44,0.0,26.94,0.79,6.96,6.3,Garnet
Sample1_pt27,38.51,0.01,20.75,0.01,26.38,0.67,7.13,6.26,Garnet
Sample1_pt28,38.27,0.05,20.6,0.0,26.76,0.72,7.13,6.24,Garnet
Sample1_pt29,38.72,0.06,20.56,0.02,26.59,0.78,7.04,6.23,Garnet
Sample1_pt30,38.77,0.06,20.81,0.04,27.0,0.74,6.91,6.29,Garnet
Sample1_pt31,38.95,0.12,20.58,0.03,26.79,0.73,6.92,6.15,Garnet
Sample1_pt32,38.56,0.03,20.71,0.0,26.89,0.78,7.09,6.41,Garnet
Sample1_pt33,38.57,0.0,20.3,0.0,26.9,0.82,6.95,6.19,Garnet
Sample1_pt34,38.38,0.02,20.65,0.07,26.68,0.77,7.07,6.33,Garnet
Sample1_pt35,38.27,0.01,20.58,0.0,26.65,0.82,7.12,6.08,Garnet
Sample1_pt36,38.35,0.03,20.44,0.0,27.06,0.72,7.24,6.24,Garnet
Sample1_pt37,38.27,0.0,20.54,0.0,26.52,0.71,6.94,6.2,Garnet
Sample1_pt38,38.39,0.05,20.45,0.01,26.89,0.71,7.06,6.32,Garnet
Sample1_pt39,38.32,0.06,20.77,0.0,27.12,0.72,6.97,6.32,Garnet
Sample1_pt40,38.95,0.08,20.32,0.02,26.69,0.73,7.13,6.53,Garnet
Sample1_pt41,38.88,0.08,20.4,0.02,26.47,0.78,7.08,6.37,Garnet
Sample1_pt42,38.51,0.0,20.5,0.02,26.66,0.68,7.21,6.35,Garnet
Sample1_pt43,38.8,0.09,20.44,0.02,26.84,0.73,7.11,6.34,Garnet
Sample1_pt44,38.62,0.09,20.33,0.0,26.56,0.8,7.19,6.31,Garnet
Sample1_pt45,38.59,0.0,21.05,0.0,26.93,0.71,7.15,6.48,Garnet
Sample1_pt46,38.92,0.06,21.01,0.06,26.97,0.69,7.07,6.54,Garnet
Sample1_pt47,39.46,0.08,21.41,0.21,26.84,0.73,7.27,6.45,Garnet
Sample1_pt48,38.73,0.05,20.62,0.0,26.93,0.72,6.99,6.31,Garnet
Sample1_pt49,38.49,0.0,20.48,0.02,26.54,0.68,7.06,6.45,Garnet
Sample1_pt50,38.58,0.09,20.86,0.0,26.62,0.67,7.06,6.36,Garnet
Sample1_pt51,38.8,0.0,20.66,0.02,26.79,0.72,7.35,6.21,Garnet
Sample1_pt52,38.65,0.05,20.36,0.0,26.44,0.71,6.85,6.4,Garnet
Sample1_pt53,38.71,0.07,20.11,0.0,26.78,0.67,7.09,6.48,Garnet
Sample1_pt54,38.78,0.06,20.44,0.01,26.77,0.7,7.18,6.35,Garnet
Sample1_pt55,38.6,0.0,20.67,0.0,26.59,0.66,7.22,6.27,Garnet
Sample1_pt56,38.61,0.1,20.8,0.01,26.72,0.7,7.18,6.54,Garnet
Sample1_pt57,38.53,0.08,20.59,0.04,26.73,0.75,7.0,6.35,Garnet
Sample1_pt58,38.47,0.01,20.49,0.05,26.66,0.77,7.32,6.52,Garnet
Sample1_pt59,38.46,0.04,20.55,0.02,26.11,0.7,7.21,6.29,Garnet
Sample1_pt60,38.4,0.0,20.79,0.04,26.98,0.69,7.24,6.29,Garnet
Sample1_pt61,38.47,0.03,20.47,0.0,26.52,0.75,7.18,6.57,Garnet
Sample1_pt62,38.59,0.05,20.42,0.0,26.25,0.63,7.11,6.56,Garnet
Sample1_pt63,38.51,0.01,20.55,0.0,25.94,0.68,7.2,6.62,Garnet
Sample1_pt64,38.65,0.01,20.12,0.0,26.17,0.7,7.05,6.56,Garnet
Sample1_pt65,38.45,0.05,20.38,0.01,26.69,0.71,7.06,6.53,Garnet
Sample1_pt66,39.23,0.06,20.53,0.0,26.74,0.7,7.19,6.24,Garnet
Sample1_pt67,38.32,0.02,20.43,0.0,26.17,0.67,7.03,6.41,Garnet
Sample1_pt68,38.81,0.07,20.6,0.01,26.73,0.73,7.05,6.49,Garnet
Sample1_pt69,38.68,0.0,20.7,0.0,26.89,0.65,7.19,6.56,Garnet
Sample1_pt70,38.74,0.0,20.8,0.0,26.85,0.69,7.21,6.32,Garnet
Sample1_pt71,38.55,0.04,20.76,0.01,26.2,0.74,7.19,6.23,Garnet
Sample1_pt72,38.77,0.1,20.58,0.02,26.18,0.66,7.15,6.48,Garnet
Sample1_pt73,39.19,0.06,20.91,0.01,26.64,0.61,7.32,6.38,Garnet
Sample1_pt74,38.85,0.01,20.38,0.0,26.38,0.71,7.15,6.41,Garnet
Sample1_pt75,39.15,0.08,20.79,0.0,26.72,0.62,7.06,6.49,Garnet
Sample1_pt76,38.64,0.0,20.27,0.01,26.59,0.69,7.07,6.23,Garnet
Sample1_pt77,38.74,0.09,20.58,0.0,26.58,0.6,7.17,6.53,Garnet
Sample1_pt78,38.87,0.02,20.44,0.02,26.56,0.63,7.11,6.58,Garnet
Sample1_pt79,39.09,0.0,20.55,0.0,26.66,0.76,7.21,6.5,Garnet
Sample1_pt80,38.34,0.01,20.52,0.0,26.23,0.67,7.22,6.48,Garnet
Sample1_pt81,38.63,0.0,20.54,0.0,27.06,0.68,7.37,6.53,Garnet
Sample1_pt82,38.84,0.03,20.42,0.0,26.57,0.71,7.23,6.14,Garnet
Sample1_pt83,38.52,0.07,20.46,0.06,26.72,0.62,7.08,6.61,Garnet
Sample1_pt84,38.89,0.03,20.52,0.0,26.45,0.65,7.1,6.33,Garnet
Sample1_pt85,38.7,0.04,20.44,0.0,26.36,0.56,7.09,6.43,Garnet
Sample1_pt86,38.88,0.0,20.61,0.0,26.33,0.72,7.31,6.55,Garnet
Sample1_pt87,38.49,0.02,20.3,0.0,26.39,0.69,7.16,6.41,Garnet
Sample1_pt88,38.83,0.04,20.69,0.0,26.62,0.64,7.31,6.44,Garnet
Sample1_pt89,38.8,0.01,20.74,0.01,26.29,0.58,7.16,6.56,Garnet
Sample1_pt90,38.89,0.1,20.4,0.0,26.73,0.66,7.26,6.6,Garnet
Sample1_pt91,38.82,0.04,20.76,0.0,26.54,0.71,7.25,6.43,Garnet
Sample1_pt92,39.09,0.01,20.49,0.0,26.79,0.65,7.25,6.49,Garnet
Sample1_pt93,38.61,0.0,20.92,0.0,26.58,0.64,7.31,6.44,Garnet
Sample1_pt94,39.06,0.07,20.33,0.0,26.16,0.64,7.2,6.52,Garnet
Sample1_pt95,38.95,0.01,20.71,0.03,27.04,0.63,7.2,6.35,Garnet
Sample1_pt96,38.84,0.03,20.67,0.0,26.36,0.71,7.2,6.56,Garnet
Sample1_pt97,38.83,0.0,20.92,0.0,26.31,0.68,7.2,6.4,Garnet
Sample1_pt98,38.84,0.0,20.39,0.0,26.47,0.67,7.38,6.25,Garnet
Sample1_pt99,38.8,0.01,20.5,0.0,26.84,0.71,7.36,6.35,Garnet
Sample1_pt100,38.71,0.0,20.5,0.01,26.63,0.63,7.28,6.51,Garnet
Sample1_pt101,38.82,0.04,20.66,0.01,26.29,0.64,7.19,6.64,Garnet
Sample1_pt102,38.63,0.02,20.68,0.0,26.43,0.65,7.19,6.37,Garnet
Sample1_pt103,38.67,0.02,20.58,0.0,26.75,0.66,7.25,6.45,Garnet
Sample1_pt104,38.67,0.05,20.61,0.0,26.24,0.64,7.22,6.52,Garnet
Sample1_pt105,38.72,0.07,20.38,0.01,26.53,0.69,7.57,6.55,Garnet
Sample1_pt106,38.64,0.04,20.73,0.02,26.75,0.67,7.31,6.27,Garnet
Sample1_pt107,38.77,0.01,20.56,0.0,26.51,0.6,7.18,6.49,Garnet
Sample1_pt108,38.77,0.08,20.44,0.0,26.78,0.71,7.41,6.43,Garnet
Sample1_pt109,38.8,0.0,20.65,0.01,26.37,0.62,7.2,6.38,Garnet
Sample1_pt110,38.77,0.04,20.45,0.02,26.32,0.67,7.45,6.63,Garnet
Sample1_pt111,38.91,0.0,20.48,0.0,26.52,0.6,7.39,6.39,Garnet
Sample1_pt112,38.53,0.0,20.45,0.0,26.61,0.62,7.33,6.45,Garnet
Sample1_pt113,38.89,0.04,20.52,0.02,26.25,0.61,7.27,6.31,Garnet
Sample1_pt114,38.8,0.02,20.86,0.02,26.34,0.71,7.38,6.1,Garnet
Sample1_pt115,39.02,0.05,20.7,0.0,26.45,0.63,7.4,6.51,Garnet
Sample1_pt116,38.83,0.0,20.54,0.02,26.35,0.62,7.21,6.58,Garnet
