PointID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt65,36.68,0.13,20.6,0,4.43,25.13,0.47,5.71,6.39,Garnet
Sample1_pt66,36.6,0.04,20.47,0.05,5.77,24.2,0.57,5.88,6.48,Garnet
Sample1_pt67,36.73,0.05,20.48,0,4.79,24.77,0.64,5.66,6.52,Garnet
Sample1_pt68,36.65,0.31,20.45,0,4.02,24.84,0.6,5.69,6.45,Garnet
Sample1_pt69,36.49,0.05,20.25,0,5.04,24.49,0.54,5.83,6.43,Garnet
Sample1_pt70,36.61,0.07,20.24,0,4.73,24.68,0.59,5.76,6.47,Garnet
Sample1_pt71,36.47,0,20.19,0.02,5.39,24.53,0.58,5.57,6.52,Garnet
Sample1_pt72,36.72,0.08,20.4,0.02,4.31,24.86,0.51,5.67,6.57,Garnet
Sample1_pt73,36.96,0,20.67,0.05,4.42,25.26,0.58,5.64,6.46,Garnet
Sample1_pt74,36.98,0.09,20.42,0,4.73,25.03,0.62,5.74,6.54,Garnet
Sample1_pt75,37.02,0.02,20.5,0,4.18,25.42,0.49,5.64,6.5,Garnet
Sample1_pt76,36.54,0,20.47,0.06,5.27,24.59,0.62,5.58,6.61,Garnet
Sample1_pt77,36.6,0.06,20.71,0.06,5.1,24.78,0.64,5.63,6.44,Garnet
Sample1_pt78,36.7,0,20.56,0.02,4.98,24.82,0.57,5.6,6.56,Garnet
Sample1_pt79,36.72,0,20.43,0.03,5.46,24.66,0.6,5.72,6.57,Garnet
Sample1_pt80,36.94,0.02,20.49,0.09,4.53,24.95,0.61,5.64,6.55,Garnet
Sample1_pt81,36.71,0.05,20.45,0,4.88,24.95,0.61,5.7,6.29,Garnet
Sample1_pt82,36.95,0.04,20.74,0.05,4.82,25.08,0.59,5.69,6.55,Garnet
Sample1_pt83,36.61,0.11,20.59,0,4.95,24.89,0.6,5.67,6.46,Garnet
Sample1_pt84,36.75,0.05,21,0.04,4.79,25.03,0.56,5.65,6.48,Garnet
Sample1_pt85,36.91,0.04,20.68,0.06,4.76,24.82,0.53,5.8,6.58,Garnet
Sample1_pt86,36.59,0.06,20.41,0,4.75,25.04,0.65,5.61,6.32,Garnet
Sample1_pt87,36.52,0.02,20.53,0.02,4.95,24.96,0.62,5.54,6.37,Garnet
Sample1_pt88,36.7,0.04,20.52,0.08,4.54,25.05,0.55,5.58,6.49,Garnet
Sample1_pt89,36.79,0.09,20.4,0.02,5.08,24.82,0.52,5.73,6.59,Garnet
Sample1_pt90,36.98,0.09,20.34,0.05,4.37,25.53,0.55,5.64,6.27,Garnet
Sample1_pt91,36.56,0.07,20.39,0,4.08,24.83,0.61,5.62,6.46,Garnet
Sample1_pt92,37.14,0.07,20.76,0.02,4.51,25.22,0.57,5.81,6.4,Garnet
Sample1_pt93,36.81,0.06,20.42,0,4.02,25.36,0.54,5.5,6.47,Garnet
Sample1_pt94,36.88,0.05,20.49,0.06,5.58,24.65,0.56,5.76,6.62,Garnet
Sample1_pt95,36.82,0.05,20.73,0.04,4.52,25.34,0.59,5.54,6.4,Garnet
Sample1_pt96,36.81,0.02,20.48,0.06,5.3,24.98,0.62,5.76,6.32,Garnet
Sample1_pt97,36.75,0.1,20.13,0,5,25.14,0.64,5.62,6.36,Garnet
Sample1_pt98,37.08,0.04,20.76,0.03,4.83,25.58,0.52,5.57,6.35,Garnet
Sample1_pt99,36.63,0.07,20.18,0,4.9,25.22,0.56,5.59,6.32,Garnet
Sample2_pt1,36.33,0,20.26,0.07,5.03,24.05,0.51,5.42,7.04,Garnet
Sample2_pt2,36.79,0.06,20.54,0,3.99,24.7,0.6,5.51,6.93,Garnet
Sample2_pt3,36.67,0.02,20.59,0,4.75,24.42,0.5,5.59,6.97,Garnet
Sample2_pt4,36.99,0.07,20.28,0,4.63,24.82,0.53,5.54,6.96,Garnet
Sample2_pt5,37.19,0.07,20.06,0,4.25,25.01,0.49,5.71,6.9,Garnet
Sample2_pt6,36.55,0.02,20.46,0,5.58,23.96,0.58,5.65,7.05,Garnet
Sample2_pt7,36.85,0.03,20.63,0.03,4.47,24.49,0.52,5.73,6.85,Garnet
Sample2_pt8,37.16,0,20.72,0,4.45,24.86,0.52,5.59,7.1,Garnet
Sample2_pt9,37.12,0.04,20.64,0,4.13,24.91,0.51,5.69,6.92,Garnet
Sample2_pt10,36.95,0.07,20.4,0,4.49,24.71,0.52,5.55,6.99,Garnet
Sample2_pt11,37.07,0.02,20.23,0,4.47,24.7,0.51,5.78,6.82,Garnet
Sample2_pt12,36.85,0,20.3,0.02,3.96,24.89,0.44,5.54,6.83,Garnet
Sample2_pt13,36.43,0.09,20.08,0.05,5.07,24.07,0.54,5.63,6.89,Garnet
Sample2_pt14,36.73,0,20.16,0.07,4.95,24.32,0.54,5.84,6.72,Garnet
Sample2_pt15,37.26,0,20.26,0.05,3.9,25.49,0.48,5.65,6.63,Garnet
Sample2_pt16,36.72,0.02,20.2,0,5.27,24.15,0.55,5.83,6.82,Garnet
Sample2_pt17,36.51,0,20.06,0,4.88,24.17,0.48,5.81,6.61,Garnet
Sample2_pt18,36.74,0,20.2,0,4.05,24.87,0.53,5.67,6.57,Garnet
Sample2_pt19,37.16,0.02,20.42,0.05,4.26,24.73,0.6,5.79,6.83,Garnet
