PointID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Mineral
Sample2_pt185,37.21,0.04,20.81,0.03,4.12,24.95,0.6,5.85,6.59,Garnet
Sample2_pt186,37.39,0.04,20.94,0.03,4.44,24.73,0.6,6.02,6.59,Garnet
Sample2_pt187,37.34,0.07,20.76,0.02,4.68,24.84,0.58,6.04,6.53,Garnet
Sample2_pt188,37.39,0.02,20.83,0.02,4.88,24.49,0.59,6.05,6.75,Garnet
Sample2_pt189,37.41,0.03,20.5,0.07,3.88,25.24,0.53,5.93,6.52,Garnet
Sample2_pt190,37.4,0,20.62,0.05,4.91,24.78,0.63,5.99,6.66,Garnet
Sample2_pt191,37.78,0.03,20.71,0.03,4.18,25.13,0.51,5.99,6.86,Garnet
Sample2_pt192,36.91,0.03,20.67,0.02,5.3,23.91,0.6,6.08,6.7,Garnet
Sample2_pt193,36.67,0.03,20.42,0.06,4.44,24.66,0.51,5.68,6.62,Garnet
Sample2_pt194,36.74,0.07,20.71,0,5.26,24.24,0.61,5.92,6.68,Garnet
Sample2_pt195,37.13,0.08,20.93,0.05,4.52,24.72,0.56,6.02,6.56,Garnet
Sample2_pt196,36.49,0.05,21.24,0.36,4.49,24.47,0.55,5.65,6.66,Garnet
Sample2_pt197,36.84,0.06,20.49,0.03,4.64,24.37,0.59,5.85,6.79,Garnet
Sample2_pt198,36.96,0,20.46,0,4.88,24.35,0.5,6.05,6.67,Garnet
Sample2_pt199,36.88,0,20.79,0.03,4.91,24.41,0.6,5.93,6.54,Garnet
Sample2_pt200,36.85,0,20.54,0.05,4.84,24.28,0.55,5.91,6.71,Garnet
Sample2_pt201,37.83,0,20.75,0,3.67,25.66,0.53,5.94,6.6,Garnet
Sample2_pt202,37.28,0.04,20.69,0.02,4.67,24.86,0.55,5.92,6.75,Garnet
Sample2_pt203,36.58,0,20.65,0,5.36,24.23,0.56,5.81,6.59,Garnet
Sample2_pt204,36.21,0,20.19,0.89,5.61,23.68,0.55,5.94,6.56,Garnet
Sample2_pt205,36.89,0.05,20.89,0.04,4.67,24.77,0.51,5.9,6.52,Garnet
Sample2_pt206,36.97,0.04,20.65,0,5.08,24.7,0.59,5.89,6.59,Garnet
Sample2_pt207,37.1,0.07,20.24,0.03,5.04,24.38,0.54,6.02,6.71,Garnet
Sample2_pt208,36.93,0.03,20.81,0.05,5.16,24.2,0.53,6.1,6.65,Garnet
Sample2_pt209,37.18,0.12,20.37,0.02,4.68,24.78,0.66,5.87,6.65,Garnet
Sample2_pt210,37.35,0.08,20.66,0.02,4.45,24.88,0.56,5.87,6.78,Garnet
Sample2_pt211,37.25,0,20.66,0.04,4.67,24.5,0.55,5.99,6.74,Garnet
Sample2_pt212,38.02,0.03,20.91,0,4.2,25.24,0.56,6.24,6.69,Garnet
Sample2_pt213,36.92,0.07,20.38,0.06,4.78,24.35,0.66,5.91,6.75,Garnet
Sample2_pt214,36.78,0.02,20.29,0.07,4.54,24.76,0.59,5.71,6.61,Garnet
Sample2_pt215,37.26,0.1,20.34,0.1,5.24,24.57,0.54,5.94,6.87,Garnet
Sample2_pt216,37.1,0.09,20.44,0.03,4.46,24.88,0.62,5.81,6.69,Garnet
Sample2_pt217,36.86,0.13,20.34,0,5.3,24.42,0.61,5.88,6.68,Garnet
Sample2_pt218,37.29,0.14,20.46,0.05,4.85,25,0.6,5.84,6.6,Garnet
Sample2_pt219,37.34,0.1,20.69,0,4.54,25,0.55,5.86,6.65,Garnet
Sample2_pt220,37.06,0.06,20.7,0.04,4.65,24.91,0.59,5.79,6.62,Garnet
Sample2_pt221,36.93,0.09,20.77,0.03,4.54,24.83,0.54,5.76,6.65,Garnet
Sample2_pt222,37.02,0.06,20.64,0.02,4.85,24.74,0.47,5.85,6.72,Garnet
Sample2_pt223,37.08,0.04,20.55,0,5.3,24.76,0.53,5.78,6.71,Garnet
Sample2_pt224,36.64,0.1,20.42,0.06,5.03,24.06,0.59,5.82,6.75,Garnet
Sample2_pt225,36.89,0,20.63,0,5.34,23.87,0.6,5.98,6.76,Garnet
Sample2_pt226,37.1,0.09,20.2,0.03,4.85,24.47,0.55,5.86,6.88,Garnet
Sample2_pt227,37.03,0.1,20.52,0,4.6,24.68,0.49,5.87,6.78,Garnet
Sample2_pt228,36.96,0.03,20.37,0,4.84,24.7,0.62,5.72,6.74,Garnet
Sample2_pt229,37.1,0.07,20.57,0.03,4.22,25.18,0.58,5.64,6.65,Garnet
Sample2_pt230,37.14,0.03,20.65,0.04,5.12,24.34,0.6,6.01,6.7,Garnet
Sample2_pt231,37.32,0.05,20.68,0,4.21,25.17,0.53,5.8,6.73,Garnet
Sample2_pt232,36.89,0.11,20.86,0.02,4.77,24.32,0.49,6.02,6.64,Garnet
Sample2_pt233,36.11,0.18,20.47,0.07,5.06,24.48,0.52,5.57,6.52,Garnet
Sample2_pt234,36.92,0.05,20.65,0.05,4.95,24.58,0.5,5.85,6.76,Garnet
Sample2_pt235,36.95,0.06,20.6,0.04,4.97,24.24,0.62,5.93,6.81,Garnet
Sample2_pt236,37.61,0.12,20.76,0.03,3.82,25.44,0.62,5.87,6.64,Garnet
Sample2_pt237,36.87,0.1,21.04,0,5.27,24.35,0.57,5.92,6.65,Garnet
Sample2_pt238,37.17,0.07,20.53,0.09,3.88,25.58,0.55,5.6,6.5,Garnet
Sample2_pt239,36.73,0.08,20.58,0.02,5.26,24.44,0.61,5.85,6.64,Garnet
Sample2_pt240,36.61,0.05,20.67,0.05,4.46,24.71,0.59,5.71,6.48,Garnet
Sample2_pt241,37.06,0.11,20.59,0.05,4.41,24.79,0.49,5.83,6.68,Garnet
Sample2_pt242,37.02,0.06,20.51,0,4.91,24.74,0.58,5.83,6.68,Garnet
Sample2_pt243,37.06,0.13,20.68,0.06,4.07,25.06,0.55,5.65,6.63,Garnet
Sample2_pt244,37,0.1,20.69,0.04,4.8,24.63,0.57,5.85,6.69,Garnet
Sample2_pt245,37.34,0.04,20.65,0,3.24,25.78,0.62,5.7,6.34,Garnet
Sample2_pt246,37.19,0.08,20.51,0,3.87,25.23,0.55,5.75,6.46,Garnet
Sample2_pt247,37.26,0.1,20.54,0.06,4.62,25.16,0.58,5.86,6.56,Garnet
Sample2_pt248,37.68,0.07,20.85,0.03,4.21,25.55,0.59,5.83,6.57,Garnet
Sample3_pt1,36.79,0.06,20.27,0.03,4.62,23.86,0.54,6.03,6.81,Garnet
Sample3_pt2,37.19,0.13,20.32,0,4.58,24.67,0.54,6.04,6.66,Garnet
Sample3_pt3,36.9,0.06,20.5,0,5,24.28,0.6,6.03,6.52,Garnet
Sample3_pt4,36.96,0.03,20.54,0,4.94,24.12,0.61,6.04,6.73,Garnet
Sample3_pt5,36.88,0.02,20.22,0.36,4.03,24.77,0.51,5.77,6.68,Garnet
Sample3_pt6,36.76,0.02,20.36,0,5.27,23.78,0.57,6.07,6.87,Garnet
Sample3_pt7,36.87,0.11,20.59,0,5.15,24.29,0.57,5.96,6.75,Garnet
Sample3_pt8,36.93,0.05,20.67,0.03,4.78,24.39,0.57,5.98,6.69,Garnet
Sample3_pt9,36.58,0.08,20.82,0,4.86,24.03,0.68,5.87,6.74,Garnet
Sample3_pt10,36.99,0.16,20.71,0,3.87,24.71,0.51,5.97,6.64,Garnet
Sample3_pt11,36.76,0.06,20.56,0.05,5.34,23.83,0.59,6.08,6.76,Garnet
Sample3_pt12,37.29,0.15,20.52,0,3.97,24.99,0.53,5.98,6.67,Garnet
Sample3_pt13,36.91,0.06,20.57,0,5.13,24.02,0.64,5.94,6.68,Garnet
Sample3_pt14,36.76,0.11,20.46,0.02,4.97,24.09,0.56,5.88,6.87,Garnet
Sample3_pt15,36.41,0.12,20.42,0.13,5.09,23.73,0.56,5.87,6.8,Garnet
Sample3_pt16,36.81,0.08,20.42,0.03,4.52,24.45,0.56,5.83,6.6,Garnet
Sample3_pt17,36.6,0.15,20.63,0,5.23,23.89,0.57,5.98,6.82,Garnet
Sample3_pt18,36.66,0.02,21.18,0,5.35,23.69,0.58,5.94,6.77,Garnet
Sample3_pt19,36.59,0.12,20.7,0,5.19,23.98,0.52,5.97,6.65,Garnet
Sample3_pt20,36.75,0.02,20.26,0,4.98,24.16,0.54,5.9,6.63,Garnet
Sample3_pt21,36.95,0.05,20.54,0,4.92,24.3,0.69,5.97,6.65,Garnet
Sample3_pt22,37.02,0.11,20.47,0.02,4.49,24.49,0.55,5.97,6.68,Garnet
Sample3_pt23,36.8,0,20.48,0,4.46,24.44,0.53,5.95,6.58,Garnet
Sample3_pt24,36.32,0.07,20.34,0,5.35,23.81,0.54,5.97,6.63,Garnet
Sample3_pt25,36.88,0.15,20.4,0,4.92,24.31,0.59,5.94,6.82,Garnet
Sample3_pt26,36.61,0.07,20.5,0,5.07,23.95,0.57,6,6.71,Garnet
Sample3_pt27,36.65,0.1,20.5,0,4.47,24.26,0.6,5.79,6.78,Garnet
Sample3_pt28,36.75,0.02,20.72,0,4.93,24.13,0.56,5.98,6.66,Garnet
Sample3_pt29,36.83,0.02,20.46,0.03,5.09,24.23,0.6,5.99,6.56,Garnet
Sample3_pt30,36.68,0,20.11,0.04,5.08,24.33,0.53,5.89,6.64,Garnet
Sample3_pt31,36.94,0.03,20.57,0,4.22,24.88,0.58,5.85,6.47,Garnet
Sample3_pt32,36.76,0.06,20.54,0.03,4.65,24.44,0.55,5.91,6.61,Garnet
Sample3_pt33,36.66,0.06,20.52,0,5.21,24.19,0.57,5.94,6.58,Garnet
Sample3_pt34,36.89,0.1,20.47,0,4.9,24.38,0.56,6.02,6.65,Garnet
Sample3_pt35,37.09,0.13,20.75,0.02,4.78,24.45,0.62,5.95,6.85,Garnet
Sample3_pt36,37.01,0.11,20.44,0,4.51,24.66,0.54,5.82,6.77,Garnet
Sample3_pt37,37.24,0.16,20.49,0,4.13,24.55,0.6,5.96,6.8,Garnet
Sample3_pt38,36.94,0.18,20.54,0.03,4.5,24.33,0.54,6,6.84,Garnet
Sample3_pt39,37.09,0.15,20.42,0.05,4.55,24.47,0.57,6.06,6.68,Garnet
Sample3_pt40,36.83,0.12,20.31,0.03,4.76,24.31,0.61,5.89,6.65,Garnet
Sample3_pt41,36.87,0.05,20.55,0.04,4.23,24.75,0.53,5.88,6.51,Garnet
Sample3_pt42,36.68,0.08,20.65,0.03,5.13,24.63,0.52,5.87,6.49,Garnet
Sample3_pt43,36.82,0.14,20.28,0,3.79,25.01,0.61,5.75,6.46,Garnet
Sample3_pt44,36.33,0.1,20.45,0.05,4.9,24.27,0.55,5.68,6.65,Garnet
Sample3_pt45,36.55,0,20.61,0.04,4.93,24.1,0.6,5.83,6.69,Garnet
Sample3_pt46,36.51,0,20.64,0.19,5.48,24.03,0.54,5.91,6.66,Garnet
Sample3_pt47,36.78,0.06,20.64,0.02,4.99,24.49,0.53,5.89,6.65,Garnet
Sample3_pt48,36.63,0.1,20.22,0.03,4.23,24.73,0.56,5.82,6.41,Garnet
Sample3_pt49,36.36,0.1,20.69,0.08,4.65,24.78,0.62,5.62,6.35,Garnet
Sample3_pt50,36.75,0.08,20.46,0.04,5.1,24.4,0.6,5.83,6.73,Garnet
Sample3_pt51,36.74,0.02,20.61,0,4.57,24.48,0.55,5.72,6.57,Garnet
Sample3_pt52,36.76,0.1,20.4,0.08,4.52,24.56,0.68,5.83,6.55,Garnet
Sample3_pt53,36.69,0.07,20.32,0,4.93,24.85,0.49,5.77,6.49,Garnet
Sample3_pt54,36.7,0.05,20.23,0,4.82,24.79,0.58,5.72,6.53,Garnet
Sample3_pt55,36.57,0.08,20.33,0.07,4.81,24.66,0.63,5.7,6.41,Garnet
Sample4_pt1,36.6,0.08,20.52,0.04,4.21,24.76,0.56,5.79,6.4,Garnet
Sample4_pt2,36.69,0.06,20.58,0,4.52,24.51,0.59,5.83,6.5,Garnet
Sample4_pt3,37.03,0.1,20.44,0,4.33,24.72,0.6,5.91,6.56,Garnet
Sample4_pt4,36.79,0.05,20.52,0.04,4.47,24.09,0.62,5.99,6.58,Garnet
Sample4_pt5,37.06,0.12,20.6,0.03,4.22,24.94,0.5,5.88,6.62,Garnet
Sample4_pt6,36.92,0.04,20.57,0.02,4.76,24.67,0.58,5.9,6.48,Garnet
Sample4_pt7,37.32,0.07,20.55,0.04,4.2,25.11,0.63,5.96,6.5,Garnet
Sample4_pt8,36.99,0.1,20.73,0.02,4.15,24.71,0.55,5.85,6.67,Garnet
Sample4_pt9,36.96,0.07,20.32,0,4.44,24.63,0.61,5.92,6.61,Garnet
Sample4_pt10,36.97,0,20.42,0,4.75,24.22,0.62,6.16,6.48,Garnet
Sample4_pt11,36.8,0.1,20.38,0.02,4.43,24.39,0.59,5.99,6.51,Garnet
Sample4_pt12,36.62,0.09,20.51,0.03,5.47,23.69,0.58,6.22,6.57,Garnet
Sample4_pt13,36.83,0.09,20.39,0,4.27,24.44,0.56,5.91,6.6,Garnet
Sample4_pt14,37.05,0.1,20.59,0.07,4.37,24.58,0.54,6.15,6.48,Garnet
Sample4_pt15,37.39,0.05,20.71,0.03,4.59,24.55,0.48,6.06,6.91,Garnet
Sample4_pt16,36.76,0.1,20.77,0,4.51,24.4,0.61,5.77,6.78,Garnet
Sample4_pt17,36.74,0.16,20.44,0.05,5.69,23.79,0.57,6.04,6.88,Garnet
Sample4_pt18,36.44,0.11,20.08,0.11,4.91,24.03,0.59,5.79,6.72,Garnet
Sample4_pt19,36.94,0.12,20.46,0,4.42,24.63,0.57,5.8,6.73,Garnet
Sample4_pt20,36.73,0.12,20.32,0,4.43,23.91,0.56,5.92,6.87,Garnet
Sample4_pt21,36.64,0.13,20.46,0.05,4.79,24.08,0.58,5.97,6.71,Garnet
Sample4_pt22,36.77,0.03,20.61,0.03,5.02,23.78,0.58,6.07,6.84,Garnet
Sample4_pt23,36.63,0.11,20.47,0.04,5.19,23.84,0.53,6.03,6.8,Garnet
Sample4_pt24,37.02,0.05,20.48,0.05,5.12,23.96,0.56,6.25,6.69,Garnet
Sample4_pt25,36.98,0.14,20.4,0.05,4.94,23.84,0.55,6.08,7.01,Garnet
Sample4_pt26,37,0.09,20.65,0,5.53,23.56,0.62,6.22,6.89,Garnet
Sample4_pt27,37.13,0.2,20.81,0.06,4.74,24.26,0.58,6.15,6.78,Garnet
Sample4_pt28,36.35,0.11,20.24,0.08,4.95,23.66,0.53,5.9,6.9,Garnet
Sample4_pt29,36.37,0.21,20.15,0.08,4.97,23.84,0.56,5.8,6.92,Garnet
Sample4_pt30,36.7,0.13,20.48,0,5,23.86,0.6,5.94,6.88,Garnet
Sample4_pt31,36.8,0.13,20.13,0,4.41,23.99,0.54,6.03,6.84,Garnet
Sample4_pt32,36.75,0.04,20.59,0.02,5.39,23.74,0.55,6.06,6.91,Garnet
Sample4_pt33,37.05,0.19,20.46,0,4.32,24.32,0.58,6.09,6.72,Garnet
Sample4_pt34,36.81,0.14,20.68,0,4.99,23.81,0.55,6.08,6.85,Garnet
Sample4_pt35,36.76,0.16,20.41,0.02,4.88,23.89,0.63,6.03,6.89,Garnet
Sample4_pt36,37.49,0.1,20.56,0.03,4.54,24.38,0.58,6.19,6.82,Garnet
Sample4_pt37,36.24,0.11,20.7,0,6.01,23.02,0.5,6.01,7.1,Garnet
Sample4_pt38,36.77,0.16,20.89,0.02,4.91,23.96,0.53,6.03,6.72,Garnet
Sample4_pt39,36.61,0.07,20.75,0,4.97,23.87,0.56,5.88,6.88,Garnet
Sample4_pt40,37.08,0.14,20.38,0.03,4.33,24.43,0.54,6,6.79,Garnet
Sample4_pt41,36.92,0.07,20.76,0.02,4.81,24.23,0.64,6.03,6.67,Garnet
Sample4_pt42,37.52,0.09,20.48,0.04,3.96,24.53,0.61,6.16,6.84,Garnet
Sample4_pt43,36.27,0.14,20.43,0.07,4.89,23.38,0.64,5.88,7.02,Garnet
Sample4_pt44,35.89,0.11,20.69,0,5.14,23.42,0.53,5.87,6.71,Garnet
Sample4_pt45,37.03,0.09,20.59,0.02,4.62,24.06,0.58,6.07,6.87,Garnet
Sample4_pt46,36.99,0.07,20.56,0.02,4.8,24.08,0.55,6.04,6.9,Garnet
Sample4_pt47,36.53,0.13,20.71,0,5.17,23.58,0.63,6.01,6.87,Garnet
Sample4_pt48,37.2,0,20.61,0.04,4.89,23.86,0.51,6.19,7.03,Garnet
Sample4_pt49,37.16,0,20.36,0,5.03,23.89,0.57,6.13,6.96,Garnet
Sample4_pt50,36.93,0.05,20.48,0,4.64,24.14,0.56,6.04,6.79,Garnet
Sample4_pt51,36.67,0.03,20.58,0,6.17,22.9,0.62,6.23,7.07,Garnet
Sample4_pt52,37.27,0.1,20.81,0.03,4.46,24.12,0.52,6.26,6.82,Garnet
Sample4_pt53,36.96,0.05,20.63,0.04,4.67,23.97,0.61,6.07,6.87,Garnet
Sample4_pt54,37.11,0,20.79,0,4.73,23.94,0.54,6.07,6.9,Garnet
Sample4_pt55,36.77,0.05,20.96,0.02,4.79,23.7,0.51,6.04,6.88,Garnet
Sample4_pt56,36.64,0.1,20.33,0,4.99,23.81,0.55,6.01,6.74,Garnet
Sample4_pt57,36.84,0.15,20.58,0.06,4.22,24.21,0.58,5.97,6.76,Garnet
Sample4_pt58,36.8,0.16,20.43,0,5.22,23.57,0.6,6.16,6.8,Garnet
Sample4_pt59,36.54,0.16,20.37,0.3,4.89,23.87,0.55,5.87,6.85,Garnet
Sample4_pt60,36.8,0.11,20.85,0.02,5.2,23.65,0.58,6.26,6.8,Garnet
Sample4_pt61,36.88,0.07,20.54,0.06,4.52,24.26,0.56,5.97,6.69,Garnet
Sample4_pt62,36.97,0.18,20.75,0.02,4.56,24.18,0.56,6.07,6.88,Garnet
Sample4_pt63,37.11,0.14,20.86,0.04,4.46,24.42,0.56,6.04,6.8,Garnet
Sample4_pt64,37.37,0.14,20.73,0,4.26,24.64,0.54,6.15,6.77,Garnet
Sample4_pt65,36.82,0.07,20.6,0,4.74,24.11,0.53,6,6.77,Garnet
Sample4_pt66,37.23,0.06,20.65,0.02,4.2,24.64,0.49,5.97,6.79,Garnet
Sample4_pt67,36.88,0.13,20.42,0.03,5.01,23.97,0.53,6.19,6.75,Garnet
Sample4_pt68,36.29,0.13,20.5,0.03,5.61,23.23,0.66,6,6.89,Garnet
Sample4_pt69,36.85,0.17,20.56,0,4.61,24.24,0.63,6.05,6.61,Garnet
Sample4_pt70,36.64,0.12,20.79,0,5.48,23.64,0.56,6.25,6.69,Garnet
Sample4_pt71,36.25,0.19,21.2,0.55,5.13,23.48,0.61,5.99,6.69,Garnet
Sample4_pt72,36.86,0.07,20.96,0,4.46,24.19,0.56,6.01,6.68,Garnet
Sample4_pt73,36.94,0.07,20.77,0,4.51,24.32,0.59,6.13,6.45,Garnet
Sample4_pt74,37.26,0.02,20.69,0.03,4.47,24.32,0.53,6.23,6.7,Garnet
Sample4_pt75,37.12,0,20.47,0.03,4.15,24.58,0.62,6.01,6.61,Garnet
Sample4_pt76,37.11,0.05,20.47,0,3.6,25.02,0.57,5.88,6.51,Garnet
Sample4_pt77,36.65,0.02,20.89,0.02,5.11,24.02,0.56,6.03,6.59,Garnet
Sample4_pt78,36.76,0,20.52,0.19,4.64,24.03,0.57,5.96,6.67,Garnet
Sample4_pt79,36.83,0,20.85,0.03,4.58,24.54,0.6,5.96,6.37,Garnet
Sample4_pt80,36.96,0.03,20.55,0.02,4.24,24.68,0.5,5.88,6.63,Garnet
Sample4_pt81,37.13,0.06,20.89,0.04,4.64,24.12,0.6,6.07,6.79,Garnet
Sample4_pt82,36.49,0.94,20.6,0.03,4.12,24.65,0.5,5.7,7.02,Garnet
Sample4_pt83,36.57,0.03,20.51,0,5,23.99,0.62,5.72,6.75,Garnet
Sample4_pt84,36.49,0.1,20.66,0.05,5.28,23.99,0.47,5.82,6.83,Garnet
Sample4_pt85,35.76,0.04,19.75,0.72,4.71,23.82,0.49,5.33,6.97,Garnet
Sample5_pt1,36.71,0.1,20.59,0,5.14,24.47,0.58,5.84,6.6,Garnet
Sample5_pt2,36.65,0.11,20.69,0.05,4.86,24.39,0.49,5.83,6.7,Garnet
Sample5_pt3,36.81,0.1,20.83,0.04,5.36,23.83,0.53,6.14,6.79,Garnet
Sample5_pt4,36.63,0.12,20.73,0,4.97,24.22,0.49,5.98,6.64,Garnet
Sample5_pt5,36.84,0.09,20.87,0.03,4.48,24.7,0.52,5.9,6.55,Garnet
Sample5_pt6,37.04,0.18,20.72,0.02,5.13,24.14,0.57,6.17,6.8,Garnet
Sample5_pt7,36.67,0.12,20.71,0.06,5.3,24.14,0.52,6.04,6.64,Garnet
Sample5_pt8,37.46,0.08,20.75,0.06,4.57,24.69,0.64,6.22,6.52,Garnet
Sample5_pt9,37.08,0.09,20.62,0.02,4.68,24.19,0.57,6.16,6.77,Garnet
Sample5_pt10,36.94,0.13,20.43,0.05,5.1,24.5,0.53,6.04,6.62,Garnet
Sample5_pt11,36.89,0.07,20.62,0,5.99,23.81,0.55,6.16,6.71,Garnet
Sample5_pt12,36.66,0.17,20.62,0.03,5.47,23.95,0.55,6.07,6.67,Garnet
Sample5_pt13,36.9,0.17,20.37,0.02,5.22,23.97,0.53,6.15,6.85,Garnet
Sample5_pt14,37.19,0.1,20.44,0,5.16,24.4,0.49,6.17,6.65,Garnet
Sample5_pt15,36.73,0.12,20.49,0.03,5.57,24.02,0.62,5.97,6.69,Garnet
Sample5_pt16,36.95,0.1,20.59,0.02,3.69,24.76,0.55,5.88,6.59,Garnet
Sample5_pt17,37.09,0.16,20.62,0,4.48,24.45,0.57,6.08,6.74,Garnet
Sample5_pt18,36.82,0.14,20.45,0.04,5.39,24.23,0.57,6.06,6.67,Garnet
Sample5_pt19,36.88,0.16,20.49,0,4.77,24.35,0.61,5.82,6.85,Garnet
Sample5_pt20,36.69,0.14,20.59,0,5.29,23.87,0.63,6.17,6.63,Garnet
Sample5_pt21,37.08,0.15,20.21,0.03,4.58,24.48,0.56,5.99,6.75,Garnet
Sample5_pt22,36.95,0.11,20.82,0.02,4.68,24.37,0.57,6.05,6.62,Garnet
Sample5_pt23,36.77,0.14,20.49,0.18,4.54,24.48,0.65,5.87,6.51,Garnet
Sample5_pt24,36.79,0.12,20.64,0.04,5.33,23.86,0.57,6.2,6.61,Garnet
Sample5_pt25,36.98,0.03,20.36,0.04,5.02,23.73,0.62,6.19,6.82,Garnet
Sample5_pt26,36.75,0.13,19.88,0.06,4.56,24.48,0.62,5.8,6.69,Garnet
Sample5_pt27,36.89,0.16,20.54,0.04,5.04,24.09,0.58,6.05,6.86,Garnet
Sample5_pt28,36.48,0.09,20.16,0.14,5.44,23.81,0.56,5.88,6.79,Garnet
Sample5_pt29,36.71,0.18,20.29,0,5.42,23.89,0.5,6.13,6.77,Garnet
Sample5_pt30,36.56,0.11,20.73,0.03,5.2,23.83,0.55,6.21,6.45,Garnet
Sample5_pt31,36.37,0.13,20.42,0.07,5.25,23.58,0.54,6.15,6.63,Garnet
Sample5_pt32,36.42,0.16,20.27,0.05,5.48,23.55,0.63,6.02,6.76,Garnet
Sample5_pt33,36.95,0.08,20.44,0.06,4.7,23.96,0.66,6.05,6.82,Garnet
Sample5_pt34,37.08,0.1,20.62,0,4.87,24.23,0.53,6.09,6.85,Garnet
Sample5_pt35,36.92,0.19,20.67,0.02,4.93,24.03,0.54,6.18,6.82,Garnet
Sample5_pt36,37.42,0.09,20.94,0.76,3.74,24.81,0.56,6.14,6.63,Garnet
Sample5_pt37,36.95,0.18,20.56,0.03,5.28,24.07,0.59,6.15,6.74,Garnet
Sample5_pt38,37.11,0.17,20.37,0.02,5.09,23.91,0.56,6.34,6.7,Garnet
Sample5_pt39,37.21,0.08,20.56,0.03,5.61,23.86,0.57,6.21,6.88,Garnet
Sample5_pt40,37.28,0.09,20.16,0,4.39,24.83,0.58,6.01,6.63,Garnet
Sample5_pt41,37.27,0.08,20.28,0.03,4.51,24.92,0.49,6.04,6.6,Garnet
Sample5_pt42,36.58,0.13,21.13,0.08,5.09,23.73,0.73,6.06,6.6,Garnet
Sample5_pt43,37.1,0.09,20.81,0.02,4.67,24.28,0.56,6.17,6.67,Garnet
Sample5_pt44,36.66,0.2,20.64,0,5.04,23.89,0.58,6.04,6.81,Garnet
Sample5_pt45,36.92,0.2,20.35,0.04,4.79,24.09,0.61,6.1,6.7,Garnet
Sample5_pt46,36.52,0.11,20.51,0.04,5.83,23.73,0.61,6.01,6.8,Garnet
Sample5_pt47,37.28,0.18,20.89,0.02,4.31,24.4,0.55,6.13,6.78,Garnet
Sample5_pt48,36.14,0.14,19.88,1.85,4.8,23.61,0.46,5.93,6.67,Garnet
Sample5_pt49,36.86,0.17,20.57,0,5.44,24.14,0.54,6.08,6.76,Garnet
Sample5_pt50,36.94,0.12,20.79,0.03,4.98,23.9,0.61,6.18,6.82,Garnet
Sample5_pt51,37.05,0.11,20.78,0,4.95,24.27,0.63,6.04,6.72,Garnet
Sample5_pt52,37.04,0.09,20.65,0,4.62,24.33,0.5,6.1,6.67,Garnet
Sample5_pt53,37.4,0.1,20.59,0.06,4,24.82,0.49,5.95,6.8,Garnet
Sample5_pt54,37.03,0.11,20.63,0,4.74,24.05,0.5,6.09,6.84,Garnet
Sample5_pt55,37.19,0.07,20.7,0,5.45,23.64,0.58,6.27,6.97,Garnet
Sample5_pt56,36.97,0.09,20.39,0.04,4.65,24.26,0.61,6,6.76,Garnet
Sample5_pt57,37.02,0.1,20.47,0.05,4.88,24.09,0.6,6.18,6.73,Garnet
Sample5_pt58,37.04,0.12,20.54,0.04,5.5,23.6,0.59,6.33,6.95,Garnet
Sample5_pt59,37.17,0.1,20.77,0.05,4.95,24.21,0.49,6.26,6.77,Garnet
Sample5_pt60,37.04,0.18,19.55,1.46,3.58,24.41,0.47,6.04,6.83,Garnet
Sample5_pt61,37.37,0.11,20.65,0,4.17,24.38,0.58,6.15,6.85,Garnet
Sample5_pt62,37.48,0.08,20.76,0.04,4.62,24.42,0.63,6.11,6.96,Garnet
Sample5_pt63,37.34,0.02,20.62,0,4.12,24.54,0.48,6.13,6.78,Garnet
Sample5_pt64,37.44,0.04,20.56,0.02,4.19,24.71,0.61,6.07,6.76,Garnet
Sample5_pt65,37.45,0.08,20.89,0.02,4.4,24.46,0.54,6.13,6.82,Garnet
Sample5_pt66,37.12,0.1,20.6,0,4.34,24.36,0.55,6.09,6.78,Garnet
Sample5_pt67,37.38,0.06,20.76,0.05,4.45,24.6,0.57,6.13,6.74,Garnet
Sample5_pt68,37.31,0.09,20.9,0.09,4.37,24.48,0.54,6.08,6.9,Garnet
Sample5_pt69,37.77,0.08,20.78,0.03,4.3,24.48,0.62,6.33,6.9,Garnet
Sample5_pt70,37.08,0.13,20.47,0.03,5.1,24.29,0.59,6,6.87,Garnet
Sample5_pt71,37.16,0.06,20.65,0.02,4.59,24.34,0.48,6.12,6.8,Garnet
Sample5_pt72,37.2,0.1,20.4,0.03,4.4,24.55,0.58,6.04,6.76,Garnet
Sample5_pt73,37.34,0.1,20.76,0.05,4.35,24.58,0.53,6.24,6.62,Garnet
Sample5_pt74,37.34,0.13,20.63,0.05,4,24.72,0.59,6.06,6.74,Garnet
Sample5_pt75,37.34,0.05,21.04,0,4.38,24.69,0.53,6.17,6.62,Garnet
Sample5_pt76,36.26,0,20.24,0.42,5.28,23.64,0.52,5.81,6.8,Garnet
Sample5_pt77,37.39,0.07,20.69,0,4.75,24.41,0.58,6.09,6.77,Garnet
Sample5_pt78,35.92,0.06,19.94,1.61,4.75,23.88,0.59,5.67,6.48,Garnet
Sample5_pt79,37.89,0.02,20.1,0,2.85,25.83,0.53,5.91,6.57,Garnet
Sample5_pt80,37.46,0.06,20.42,0,4.43,24.71,0.63,6.06,6.68,Garnet
