PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,NiO,CaO,Na2O,K2O,P2O5,Mineral
1,37.87,0.16,20.91,0,25.24,0.96,3.6,0,11.07,0,0,0,Garnet
2,37.28,0.06,20.92,0,26.06,2.32,1.86,0,10.96,0,0,0,Garnet
3,37.38,0.08,21.26,0,29.12,1.11,4.94,0,6.99,0,0,0,Garnet
4,37.56,0.07,21.19,0,27.77,0.98,4.54,0,8.01,0,0,0,Garnet
5,37.59,0.04,21.03,0,28.79,1.39,3.89,0,7.54,0.05,0,0,Garnet
6,37.04,0.05,20.92,0,27.92,1.4,4.68,0,7.64,0,0,0,Garnet
7,35.88,0.02,21,0,31.1,1.29,1.59,0,8.45,0,0,0,Garnet
8,37.47,0.03,21.58,0,28.53,0.65,1.35,0,11.27,0.05,0,0,Garnet
9,36.61,0.1,20.58,0,32.86,2.41,3.7,0,1.83,0,0.01,0,Garnet
10,37.19,0,20.7,0.06,34.36,1.29,3.9,0.09,2.62,0,0.03,0,Garnet
11,37.33,0.04,20.65,0,34.63,1.62,4.31,0.04,1.34,0,0,0,Garnet
12,36.78,0.04,20.49,0,35.56,1.71,3.44,0.03,1.42,0,0,0,Garnet
13,36.87,0,20.35,0.02,30.8,4.69,2.25,0,4.32,0,0.03,0,Garnet
14,37.36,0,20.72,0.02,32.56,0.14,3.4,0,5,0,0,0,Garnet
15,36.67,0.02,20.51,0,33.6,3.84,0.76,0,3.9,0.07,0.15,0,Garnet
16,36.84,0.18,20.15,0,32.4,3.92,0.88,0,5.21,0,0.04,0,Garnet
17,36.1,0,20.87,0,31.74,3.14,3.09,0,4.56,0,0,0,Garnet
18,36.69,0.1,20.67,0,31.15,3,2.63,0,5.35,0,0,0,Garnet
19,36.27,0.16,20.94,0,31.52,3.68,2.83,0,4.49,0,0,0,Garnet
20,37.06,0.05,20.82,0,33.17,1.43,3.33,0,4.71,0.09,0.01,0,Garnet
21,35.63,0.07,20.74,0,36.45,1.44,3.37,0,1.76,0,0,0,Garnet
22,35.82,0.05,21.18,0,37.36,0.99,3.5,0,0.71,0.08,0,0,Garnet
23,37.23,0,20.45,0,33.22,1.15,2.56,0,4.9,0,0,0,Garnet
24,36.72,0.08,20.24,0.13,39.46,0.42,1.67,0.08,1.66,0,0,0,Garnet
25,36.59,0,20.15,0.04,39.12,0.2,1.77,0.06,1.43,0,0.03,0,Garnet
26,37.17,0,20.3,0.02,32.35,1.92,4.23,0,3.85,0,0,0,Garnet
27,36.59,0,20.09,0.02,38.59,1.01,1.45,0.04,1.95,0,0.02,0,Garnet
28,36.67,0,20.02,0,33.37,1.16,2.59,0.02,4.87,0,0.02,0,Garnet
29,37.02,0.04,20.3,0,34.18,0.99,2.78,0,4.01,0,0,0,Garnet
30,37.12,0.35,20.82,0.01,31.33,5.95,0.87,0,3.01,0,0.05,0,Garnet
31,37.02,0.11,20.97,0,31.15,6.26,0.91,0.05,3.3,0,0.02,0,Garnet
32,36.63,0.11,20.76,0,29.78,7.08,0.63,0,5.46,0,0,0,Garnet
33,37.2,0.13,20.71,0,28.19,7.65,0.58,0.01,6.46,0,0,0,Garnet
34,35.94,0.03,20.39,0,34.78,2.07,3.99,0,1.71,0,0,0,Garnet
35,36.18,0.01,20.6,0,35.35,2.89,2.69,0,1.5,0.08,0,0,Garnet
36,36.24,0.01,19.95,0,35.45,3.4,2.65,0,1.64,0.1,0,0,Garnet
37,36.17,0,20.66,0,34.43,3.34,3.24,0,1.44,0.04,0,0,Garnet
38,35.9,0.02,20.53,0,34.73,4.16,2.61,0,1.33,0,0,0,Garnet
39,37.31,0.03,20.56,0,29.09,8.49,3.14,0,2.07,0,0,0,Garnet
40,37.24,0,20.65,0,27.97,10.35,2.54,0,1.68,0,0.01,0,Garnet
41,37.44,0.05,20.61,0,35.07,0.09,3.29,0,3.21,0,0,0,Garnet
42,37.12,0.11,20.19,0.02,35.29,0.67,2.88,0,3.13,0,0.02,0,Garnet
43,37.12,0.18,20.11,0,28.16,3.91,1.73,0,8.11,0,0,0,Garnet
44,37.16,0.09,20.08,0.01,28.25,3.05,1.94,0,8.07,0,0.02,0,Garnet
45,36.78,0.22,20.02,0,25.6,10.16,1.68,0.04,4.8,0,0,0,Garnet
46,36.91,0,20.45,0.05,24.56,12.8,3.22,0.02,1.8,0,0,0,Garnet
47,36.96,0.01,20.27,0,23.44,13.56,2.87,0,1.89,0.01,0.03,0,Garnet
48,37.02,0.26,20.4,0.03,24.88,10.87,3.24,0.01,2.76,0,0.02,0,Garnet
49,37.07,0,20.52,0,25.01,11.44,3.22,0,2.12,0,0,0,Garnet
50,37.02,0.2,20.47,0.04,24.41,10.63,3.59,0,2.93,0.05,0,0,Garnet
51,37.11,0,20.36,0.06,25.49,11.42,3.53,0.03,1.24,0,0,0,Garnet
52,37.87,0.01,21.08,0,33.62,1.17,4.26,0,2.36,0,0.01,0,Garnet
53,37.37,0,20.74,0,33.74,4.46,2.58,0,1.74,0,0.02,0,Garnet
54,36.99,0.13,18.79,0,14.07,19.13,2.08,0,7.87,0,0,0,Garnet
55,37.29,0.1,20.16,0,23.72,12.23,2.99,0.07,3.16,0.04,0.03,0,Garnet
56,37.19,0.02,20.54,0.01,25.45,11.65,3.53,0,1.33,0,0.02,0,Garnet
57,36.88,0.19,21.23,0,27.37,0.69,5.46,0,7.5,0,0,0,Garnet
58,36.95,0.11,21.3,0,28.12,1.37,4.35,0,7.52,0,0,0,Garnet
59,35.52,0.69,7.19,0,19.07,3.76,0,0,28.72,0,0,0,Garnet
60,35.71,0.11,5.7,0,21.55,2.41,0,0,30.44,0.01,0,0,Garnet
61,35.76,0.79,5.16,0,21.5,3.02,0,0,30.17,0,0,0,Garnet
62,41.42,0.03,20.5,4.94,6.04,0.23,20.81,0,5.4,0.05,0,0,Garnet
63,41.23,0.04,21.81,2.96,8.23,0.43,19.63,0,5.32,0.05,0,0,Garnet
64,40.08,0.64,15.84,10.39,6.34,0.29,18.53,0,7.77,0.06,0,0,Garnet
65,40.87,0.36,22.21,1.81,8.43,0.34,21.11,0,4.47,0,0,0,Garnet
66,39.98,0.23,20.77,3.18,9.59,0.39,19.85,0,5.1,0.03,0,0,Garnet
67,40.19,0.14,18.63,6.69,7.38,0.28,19.05,0,6.7,0.04,0,0,Garnet
68,43.01,0.01,20.64,4.19,5.48,0.25,21.82,0,3.99,0.04,0,0,Garnet
69,41.21,0.23,21.78,2.11,10.03,0.47,18.73,0,4.83,0.06,0,0,Garnet
70,41.44,0.21,21.95,2.01,8.89,0.48,19.63,0,5.11,0.04,0,0,Garnet
71,41.58,0.26,21.54,2.59,8.48,0.38,19.85,0,4.88,0.07,0,0,Garnet
72,41.77,0.02,21.41,3.56,5.74,0.3,22.64,0,3.91,0.04,0,0,Garnet
73,41.27,0.04,19.29,5.84,7.87,0.41,18.17,0,6.82,0,0,0,Garnet
74,42.21,0.21,23.58,0.19,8.62,0.32,19.77,0,4.47,0.01,0,0,Garnet
75,41.32,0.03,19.02,6.34,6.78,0.32,19.31,0,6.08,0.01,0,0,Garnet
76,42.27,0.05,21.46,3.7,7.22,0.31,20.15,0,4.18,0.01,0,0,Garnet
77,41.01,0.02,18.64,7.09,7.3,0.4,18.33,0,6.93,0.01,0,0,Garnet
78,41.35,0.07,22.23,1.77,9.42,0.54,18.89,0,5.23,0.01,0,0,Garnet
79,41.42,0.35,19.08,5.85,6.65,0.31,20.29,0,5.98,0.04,0,0,Garnet
80,41.34,0.48,19.71,5.69,5.96,0.28,21.11,0,5.2,0.07,0,0,Garnet
81,41.98,0.01,21.22,3.73,5.81,0.32,22.23,0,3.82,0,0,0,Garnet
82,41.02,0.09,17.43,8.33,6.36,0.29,19.1,0,7.16,0.02,0,0,Garnet
83,41.07,0.05,19.28,5.9,7.58,0.42,18.99,0,6.67,0,0,0,Garnet
84,41.04,0.25,23.01,0.1,12.33,0.35,17.53,0,4.9,0.09,0,0,Garnet
85,41.63,0.25,22.1,1.73,8.64,0.44,20.04,0,4.71,0.05,0,0,Garnet
86,41.67,0.05,18.58,6.05,6.56,0.37,19.84,0,5.99,0,0,0,Garnet
87,42.35,0.07,22.32,1.26,9.93,0.41,18.99,0,4.62,0,0,0,Garnet
88,41.39,0.1,19.58,4.84,7.23,0.52,18.55,0,6.01,0,0,0,Garnet
89,41.09,0.03,19.24,6.56,7.07,0.41,19.45,0,6.44,0.02,0,0,Garnet
90,41.38,0.13,18.1,7,6.41,0.33,19.46,0,6.38,0.01,0,0,Garnet
91,42.11,0.24,19.7,4.37,6.81,0.35,20.55,0,5.04,0.04,0,0,Garnet
92,41.33,0.06,18.17,7.02,6.48,0.37,20.29,0,4.81,0.01,0,0,Garnet
93,42.36,0.84,20.16,2.71,7.35,0.3,20.42,0,4.96,0.05,0,0,Garnet
94,41.32,0.1,18.7,6.62,6.54,0.32,19.43,0,5.94,0.03,0,0,Garnet
95,41.69,0.11,21.31,2.67,7.94,0.49,19.56,0,4.91,0.02,0,0,Garnet
96,42.67,0.18,20.78,3.97,6.44,0.34,21.25,0,4.63,0.03,0,0,Garnet
97,39.99,1.32,20.87,0.26,12.08,0.35,18.13,0,5.12,0.09,0,0,Garnet
98,40.79,0.87,21.17,0.61,10.82,0.26,19.43,0,4.63,0.1,0,0,Garnet
99,40.32,1.45,21.43,0.55,10.58,0.31,20.58,0,2.94,0.05,0,0,Garnet
100,37.76,0.07,21.7,0,26.24,0.37,8.51,0,4.59,0.03,0,0,Garnet
101,41.19,0.94,21.15,0.77,9.99,0.23,20.11,0,4.33,0.08,0,0,Garnet
102,40.53,0.9,21.3,0.56,11.5,0.37,19.35,0,4.52,0.09,0,0,Garnet
103,40.63,1.05,21.3,0.35,11.65,0.38,18.88,0,4.53,0.07,0,0,Garnet
104,41.33,0.66,21.12,1.47,8.31,0.22,21.06,0,4.41,0.05,0,0,Garnet
105,40.26,0.28,22.52,0,16.24,0.39,14.44,0,5.69,0.08,0,0,Garnet
106,40.71,0.93,21.37,0.35,11.98,0.29,18.52,0,4.61,0.1,0,0,Garnet
107,41.08,0.77,21.18,0.85,9.63,0.25,20.19,0,4.34,0.08,0,0,Garnet
108,40.72,0.89,22.23,0.22,11.2,0.32,20.19,0,3.16,0.04,0,0,Garnet
109,42.39,0.62,19.28,3.79,6.99,0.23,20.96,0,4.86,0.03,0,0,Garnet
110,41.87,0,20.42,4.42,7.46,0.45,19.12,0,5.99,0,0,0,Garnet
111,42.48,0.31,20.46,2.62,6.93,0.32,21.42,0,4.88,0.02,0,0,Garnet
112,42.52,0.56,20.29,2.6,7.41,0.25,21.4,0,4.6,0.07,0,0,Garnet
113,41.15,0.4,18.4,6.01,6.89,0.36,19.41,0,6.14,0.04,0,0,Garnet
114,41.06,0.03,16.32,9.1,6.76,0.38,17.47,0,7.73,0.01,0,0,Garnet
115,42.14,0.32,20.59,2.9,7.23,0.26,20.64,0,4.65,0.03,0,0,Garnet
116,41.5,0.03,18.63,5.85,6.92,0.36,19.07,0,6.21,0,0,0,Garnet
117,41.19,0.94,20.3,2.77,7.8,0.27,20.96,0,4.92,0.07,0,0,Garnet
118,42.45,0.48,20.08,2.75,6.65,0.26,21.2,0,4.7,0.05,0,0,Garnet
119,40.99,0.84,21.74,0.6,10.61,0.32,19.43,0,4.51,0.07,0,0,Garnet
120,41.04,0.68,21.01,1.79,10.9,0.38,18.3,0,4.66,0.06,0,0,Garnet
121,41.92,0.77,20.85,1.68,8.06,0.28,21.16,0,4.58,0.07,0,0,Garnet
122,41.86,0.71,21.02,1.37,9.08,0.28,20.61,0,4.36,0.05,0,0,Garnet
123,41.47,0.65,21.08,1.73,8.27,0.26,21.07,0,4.5,0.07,0,0,Garnet
124,41.35,0.77,21.41,1.25,9.39,0.3,19.98,0,4.72,0.1,0,0,Garnet
125,38.42,0.03,22.01,0.21,24.4,0.73,9.12,0,5.28,0,0,0,Garnet
126,40.59,0.85,21.32,0.83,10.16,0.3,20.48,0,4.49,0.09,0,0,Garnet
127,38.03,0.05,22.27,0.1,24.39,0.67,8.24,0,6.44,0,0,0,Garnet
128,40.89,1.26,21.7,0.09,10.83,0.26,20.21,0,3.27,0.04,0,0,Garnet
129,40.3,1.81,20.72,0.38,12.03,0.37,17.74,0,5.41,0.08,0,0,Garnet
130,40.36,0.95,21.2,0.55,11.86,0.4,18.67,0,4.61,0.09,0,0,Garnet
131,41.02,0.27,20.11,4.86,7.34,0.42,20.04,0,5.12,0.03,0,0,Garnet
132,42.89,0.52,19.99,3.03,6.78,0.26,20.74,0,4.66,0.05,0,0,Garnet
133,41.8,0.03,19.34,5.18,6.76,0.3,19.99,0,5.54,0.01,0,0,Garnet
134,41.85,0.01,19.8,4.94,6.4,0.35,20.35,0,5.61,0,0,0,Garnet
135,41.54,0.04,18.78,6.23,6.48,0.39,19.21,0,5.93,0,0,0,Garnet
136,42.14,0.09,21.33,3.3,7.57,0.51,19.24,0,5.2,0,0,0,Garnet
137,42.7,0.67,20.03,1.84,8.61,0.27,20.22,0,4.41,0.05,0,0,Garnet
138,42.42,0.68,20.77,1.45,7.49,0.24,21.17,0,4.29,0.05,0,0,Garnet
139,41.73,0.11,20.28,3.72,8.43,0.45,18.82,0,5.76,0.02,0,0,Garnet
140,39.56,0,22.19,0,23.61,0.43,11.33,0,1.98,0,0,0,Garnet
141,41.24,0.7,21.2,0.99,9.53,0.26,20.79,0,4.34,0.08,0,0,Garnet
142,40.94,0.86,21.09,0.62,10.86,0.26,19.51,0,4.72,0.09,0,0,Garnet
143,40.68,0.84,21.35,0.68,10.58,0.26,19.59,0,4.55,0.09,0,0,Garnet
144,40.8,0.84,22.06,0.18,11.41,0.34,19.74,0,3.66,0.05,0,0,Garnet
145,40.93,0.74,21.12,1.23,9.46,0.28,20.37,0,4.66,0.09,0,0,Garnet
146,41.16,0.82,21.63,0.79,10.1,0.25,20.3,0,4.48,0.08,0,0,Garnet
147,41.09,1.12,21.17,0.41,11.17,0.34,19.08,0,4.63,0.1,0,0,Garnet
148,41.2,0.7,20.92,1.55,8.91,0.29,20.65,0,4.53,0.08,0,0,Garnet
149,41.32,0.47,22.05,1.14,7.53,0.27,21.28,0,4.38,0.05,0,0,Garnet
150,41.07,0.78,21.38,0.91,9.54,0.22,20.11,0,4.42,0.07,0,0,Garnet
151,40.6,1.12,21.42,0.22,12.52,0.37,18.21,0,4.64,0.08,0,0,Garnet
152,41.16,0.99,20.85,0.59,11.02,0.27,19.46,0,4.6,0.09,0,0,Garnet
153,41.05,0.8,21.46,0.6,10.74,0.33,19.77,0,4.31,0.11,0,0,Garnet
154,41.55,0,17.97,7.52,6.41,0.42,20.32,0,5.34,0,0,0,Garnet
155,42.48,0.6,20.5,2.22,7.1,0.24,21.13,0,4.49,0.05,0,0,Garnet
156,41.74,0.13,19.19,5.57,7.21,0.41,18.7,0,5.74,0.03,0,0,Garnet
157,42,0.19,19.59,4.76,6.32,0.35,20.4,0,5.33,0.04,0,0,Garnet
158,41.96,0.04,18.68,6,6.61,0.34,20.15,0,5.23,0,0,0,Garnet
159,41.67,0.07,18.55,6,7.34,0.48,18.39,0,6.81,0.02,0,0,Garnet
160,42.62,0.33,20.5,2.43,6.77,0.29,21.19,0,4.73,0.03,0,0,Garnet
161,41.28,0,18.02,7.49,6.37,0.39,19.74,0,5.36,0,0,0,Garnet
162,41.77,0.03,20.91,4.41,6.62,0.37,21.2,0,4.89,0.01,0,0,Garnet
163,41.38,0.45,21.85,1.46,11.86,0.48,18.32,0,4.74,0.04,0,0,Garnet
164,40.9,0.92,20.75,0.45,11.9,0.35,18.86,0,4.67,0.1,0,0,Garnet
165,40.95,0.77,21.52,0.89,9.52,0.28,20.39,0,4.31,0.08,0,0,Garnet
166,40.66,1.17,21.41,0.34,11.05,0.26,20.27,0,3.45,0.07,0,0,Garnet
167,40.45,1,21.55,0.44,11.59,0.38,18.9,0,4.26,0.05,0,0,Garnet
168,40.92,1.06,21.25,0.46,11.88,0.34,18.85,0,4.41,0.07,0,0,Garnet
169,41.03,0.71,20.67,1.75,8.99,0.27,20.92,0,4.42,0.06,0,0,Garnet
170,37.22,0.06,21.07,0,28.94,0.59,5.09,0,6.45,0.03,0,0,Garnet
171,40.32,0.84,21.51,0.43,12.16,0.33,18.41,0,4.51,0.08,0,0,Garnet
172,40.08,0.85,21.28,1.13,10.96,0.3,19.01,0,4.88,0.06,0,0,Garnet
173,38.04,0.12,21.82,0.06,23.64,0.5,8.04,0,6.53,0,0,0,Garnet
174,40.44,0.99,21.64,0.41,11.71,0.32,19.31,0,4.38,0.07,0,0,Garnet
175,40.73,0.76,21.35,1.33,9.3,0.31,20.3,0,4.46,0.08,0,0,Garnet
176,42.14,0.12,20.69,3.91,6.37,0.3,20.25,0,5.17,0,0,0,Garnet
177,41.61,0.03,19.33,5.25,6.43,0.33,20.12,0,5.43,0,0,0,Garnet
178,41.75,0.04,18.97,6.71,6.59,0.35,20.26,0,5.21,0.01,0,0,Garnet
179,41.49,0.1,18.43,7.22,6.34,0.35,20.15,0,4.63,0.02,0,0,Garnet
180,42.33,0.71,20.2,2.32,7.53,0.27,20.92,0,4.42,0.06,0,0,Garnet
181,42.1,0.41,19.6,3.74,9.46,0.33,19.55,0,4.44,0.05,0,0,Garnet
182,42.1,0.01,19.32,6.59,6.44,0.35,21.98,0,4.1,0,0,0,Garnet
183,42.45,0.67,20.91,1.57,7.32,0.27,21.11,0,4.61,0.06,0,0,Garnet
184,42.46,0.08,21.07,3.32,6.4,0.37,20.63,0,4.75,0.01,0,0,Garnet
185,41.5,1,20.25,3.36,9,0.34,20.04,0,5.41,0.07,0,0,Garnet
186,41.38,0.79,19.21,4.37,7.84,0.31,19.86,0,5.24,0.06,0,0,Garnet
187,40.75,0.71,21.85,0,13,0.36,18.32,0,4.31,0.09,0,0,Garnet
188,41.07,0.8,21.22,0.85,9.55,0.26,20.36,0,4.61,0.07,0,0,Garnet
189,40.95,0.84,20.95,0.4,11.62,0.33,19.11,0,4.54,0.08,0,0,Garnet
190,40.46,0.75,22.21,0.78,10.62,0.31,18.93,0,4.58,0.06,0,0,Garnet
191,37.36,0.07,21.29,0.09,26.6,0.62,6.47,0,6.88,0,0,0,Garnet
192,41.22,0.56,21.07,1.67,9.12,0.25,20.99,0,4.23,0.07,0,0,Garnet
193,40.63,0.78,20.96,1.48,9.47,0.35,20.11,0,4.57,0.09,0,0,Garnet
194,40.71,0.75,22.02,0,13.1,0.4,18.25,0,4.62,0.07,0,0,Garnet
195,40.88,0.83,22.56,0.17,11.35,0.36,20.05,0,3.12,0.05,0,0,Garnet
196,37,0.08,20.79,0.08,29.05,0.48,6.04,0,5.56,0.05,0,0,Garnet
197,40.64,0.83,21.54,0.12,12.74,0.32,18.55,0,4.46,0.09,0,0,Garnet
198,40.61,0.98,21.22,0.68,11.8,0.35,18.67,0,4.78,0.08,0,0,Garnet
199,41.73,0.03,19.33,5.52,6.66,0.48,18.94,0,6.37,0,0,0,Garnet
200,42.06,0.02,19.04,6.16,6.4,0.38,21,0,4.84,0.01,0,0,Garnet
201,41.2,0.36,18.2,6.36,7.31,0.38,19.18,0,5.87,0.06,0,0,Garnet
202,41.52,0.31,18.43,6.13,7.37,0.41,19.1,0,5.67,0.04,0,0,Garnet
203,38.77,0.01,21.47,0,28.75,1.46,8.38,0,0.93,0,0,0,Garnet
204,41.35,0.01,18.53,6.3,6.91,0.43,19.1,0,6.19,0,0,0,Garnet
205,42.12,0.02,21.12,3.28,6.13,0.29,20.76,0,5.03,0,0,0,Garnet
206,42.31,0.63,21.2,1.85,7.05,0.24,21.06,0,4.61,0.05,0,0,Garnet
207,42.54,0.98,20.86,2.38,7.46,0.28,21.19,0,4.82,0.06,0,0,Garnet
208,41.39,0.09,17.8,7.52,6.24,0.42,19.4,0,6.15,0.03,0,0,Garnet
209,40.45,1.3,20.9,0.58,11.94,0.34,18.18,0,4.88,0.11,0,0,Garnet
210,37.96,0.07,22.04,0.1,22.62,0.74,9.02,0,6.88,0.02,0,0,Garnet
211,40.9,0.3,22.95,0.07,11.95,0.38,18.29,0,4.48,0.06,0,0,Garnet
212,40.48,0.93,20.92,1.36,9.34,0.32,20.22,0,4.64,0.07,0,0,Garnet
213,40.7,1.02,20.98,0.72,10.98,0.36,19.42,0,4.49,0.08,0,0,Garnet
214,40.48,1.2,20.58,0.85,11.69,0.39,18.23,0,5.23,0.07,0,0,Garnet
215,41.56,0.69,21.32,1.06,9.34,0.29,20.48,0,4.55,0.08,0,0,Garnet
216,38.27,0.06,21.51,0,24.91,0.75,7.78,0,6.45,0.01,0,0,Garnet
217,41.26,0.73,21.81,0.72,9.15,0.26,20.63,0,4.25,0.07,0,0,Garnet
218,40.8,0.87,21.24,0.51,11.95,0.33,19.14,0,4.7,0.08,0,0,Garnet
219,37.72,0.04,21.72,0,26.21,0.47,6.01,0,8.52,0,0,0,Garnet
220,37.85,0.05,21.7,0,24.63,0.39,8.97,0,5.48,0.02,0,0,Garnet
221,38.77,0.04,22.51,0,20.37,0.91,11.12,0,6.22,0,0,0,Garnet
222,41.83,0.1,19.28,6.14,6.12,0.39,20.41,0,5.38,0.03,0,0,Garnet
223,41.88,0.06,18,7.21,6.49,0.35,19.6,0,5.99,0.01,0,0,Garnet
224,42.05,0.2,18.33,6.5,6.76,0.36,19.49,0,5.84,0.02,0,0,Garnet
225,41.85,0.03,18.86,6.05,7.07,0.4,19.32,0,6.19,0,0,0,Garnet
226,41.78,0.1,20.46,3.97,6.87,0.46,19.54,0,5.9,0.01,0,0,Garnet
227,41.35,0.14,21.29,3.86,8.14,0.44,20,0,5.18,0.03,0,0,Garnet
228,42.75,0.69,21.04,1.82,7.69,0.29,20.86,0,4.48,0.07,0,0,Garnet
229,42.48,0.69,21.2,1.65,7.66,0.26,21.28,0,4.43,0.08,0,0,Garnet
230,41.69,0.02,19.06,5.8,6.46,0.33,19.87,0,6.04,0.01,0,0,Garnet
231,42.01,0,19.31,5.74,6.19,0.35,20.76,0,4.27,0,0,0,Garnet
232,40.64,0.9,21.34,0.45,11.75,0.29,18.72,0,4.58,0.1,0,0,Garnet
233,40.83,1.25,21.07,0.38,12.07,0.4,18.69,0,4.46,0.08,0,0,Garnet
234,41.33,0.82,21.15,1.1,8.9,0.24,20.43,0,4.2,0.08,0,0,Garnet
235,38.59,0.08,21.5,0,23.89,0.37,9.08,0,5.97,0.02,0,0,Garnet
236,39.14,0.31,22.05,0,17.25,0.36,12.18,0,7.48,0.09,0,0,Garnet
237,40.95,0.79,21.23,0.45,10.65,0.27,19.58,0,4.41,0.08,0,0,Garnet
238,40.79,0.92,21.52,0.39,11.72,0.32,19.03,0,4.55,0.09,0,0,Garnet
239,40.31,1.31,20.19,0.58,12.9,0.4,18.22,0,4.78,0.08,0,0,Garnet
240,41.51,0.7,21.23,1,9.2,0.23,20.88,0,4.36,0.07,0,0,Garnet
241,39.87,0.29,22.48,0.13,17.6,0.36,12.26,0,7.6,0.1,0,0,Garnet
242,40.38,0.62,21.66,0.15,14.1,0.28,15.98,0,5.73,0.13,0,0,Garnet
243,42,0.65,22.19,0.28,8,0.24,21.59,0,4.4,0.08,0,0,Garnet
244,41.74,0,18.83,6.09,6.66,0.41,19.15,0,7.12,0,0,0,Garnet
245,41.94,0.34,19.51,5.53,5.87,0.3,21.29,0,4.46,0.02,0,0,Garnet
246,42.16,0.01,20.04,5.03,6.29,0.34,20.86,0,5.4,0,0,0,Garnet
247,41.96,0.11,21.27,3.08,7.93,0.46,19.61,0,5.01,0.02,0,0,Garnet
248,41.87,0.03,18.96,5.61,6.45,0.35,19.9,0,5.9,0.02,0,0,Garnet
249,41.58,0.04,20.37,5.38,6.59,0.37,20.9,0,5.8,0.01,0,0,Garnet
250,41.88,0.1,20.19,4.74,6.88,0.41,19.77,0,5.69,0.01,0,0,Garnet
251,42.27,0.35,20.84,2.35,7.14,0.32,21.01,0,4.6,0.04,0,0,Garnet
252,42.7,0.55,20.35,2.43,7.05,0.29,21.11,0,4.61,0.06,0,0,Garnet
253,42.2,0.93,20.77,1.9,8.04,0.31,20.43,0,4.62,0.1,0,0,Garnet
254,40.72,0.85,21.81,0.41,11.84,0.31,18.87,0,4.5,0.08,0,0,Garnet
255,40.78,0.83,21.24,0.86,9.99,0.3,20.27,0,4.44,0.09,0,0,Garnet
256,40.6,1.03,21.15,0.58,10.89,0.33,19.17,0,4.42,0.09,0,0,Garnet
257,40.56,0.95,21.75,0.54,11.71,0.35,19.45,0,4.27,0.08,0,0,Garnet
258,40.88,1.03,21.59,0.34,11.32,0.39,20.2,0,3.67,0.05,0,0,Garnet
259,40.92,0.9,21.37,0.55,11.3,0.31,19.44,0,4.58,0.1,0,0,Garnet
260,40.87,1,21.14,0.4,11.6,0.3,18.9,0,4.59,0.09,0,0,Garnet
261,41.74,0.29,22.32,0.95,7.66,0.25,21.87,0,4.38,0.05,0,0,Garnet
262,37.61,0.05,21.92,0,25.72,0.54,6.33,0,7.99,0.02,0,0,Garnet
263,41.58,0.71,21.27,1.25,8.84,0.28,20.27,0,4.62,0.08,0,0,Garnet
264,40.74,1.08,21.23,0.46,11.62,0.3,18.23,0,4.58,0.17,0,0,Garnet
265,41.36,1.11,21.57,0.28,11.35,0.38,18.57,0,4.61,0.13,0,0,Garnet
266,41.54,0.92,21.66,0.9,8.95,0.28,19.81,0,4.78,0.12,0,0,Garnet
267,41.87,0.01,18.28,6.67,6.41,0.32,20.24,0,5.19,0,0,0,Garnet
268,41.73,0.09,19.12,5.9,6.49,0.38,20.07,0,5.47,0.02,0,0,Garnet
269,42.45,0.46,20.11,3.29,6.75,0.27,21.22,0,4.82,0.04,0,0,Garnet
270,42.52,0.54,20.04,2.9,7.46,0.23,20.7,0,4.7,0.06,0,0,Garnet
271,42.46,0.66,21.02,1.69,7.46,0.22,21.25,0,4.36,0.07,0,0,Garnet
272,42.08,0.03,18.86,6.11,6.56,0.32,20.24,0,5.48,0,0,0,Garnet
273,42.46,0.53,20.09,3.28,6.5,0.28,21.25,0,4.65,0.05,0,0,Garnet
274,42.26,0.39,18.8,5.44,6.39,0.3,20.69,0,5.27,0.03,0,0,Garnet
275,42.65,0.57,19.51,3.54,7.13,0.28,21.09,0,4.84,0.04,0,0,Garnet
276,36.65,0.06,20.83,0.14,33.02,4.55,1.56,0,3.48,0,0,0,Garnet
277,40.73,1.17,21.44,0.48,11.35,0.41,18.72,0,4.45,0.07,0,0,Garnet
278,40.75,1.04,21.61,0.6,11.43,0.4,18.1,0,4.39,0.16,0,0,Garnet
279,41.77,0.92,21.7,1.23,8.59,0.33,20.32,0,4.55,0.09,0,0,Garnet
280,41.52,0.87,21.34,1.2,8.99,0.27,19.63,0,4.56,0.08,0,0,Garnet
281,40.83,1.46,21.41,0.36,11.43,0.31,19.14,0,3.8,0.1,0,0,Garnet
282,42.32,0.79,21.62,0.52,9.22,0.25,20.44,0,4.29,0.1,0,0,Garnet
283,41.53,0.73,21.07,2.14,8.2,0.28,19.14,0,6.52,0.07,0,0,Garnet
284,39.15,0.06,21.74,0.1,24.37,0.68,8.48,0,5.62,0.12,0,0,Garnet
285,42.2,0.73,22.14,0.93,7.25,0.23,21.02,0,4.33,0.07,0,0,Garnet
286,41.57,1,21.84,0.82,9.95,0.29,19.74,0,4.56,0.09,0,0,Garnet
287,41.54,1.05,21.33,0.71,10.55,0.26,19.4,0,4.63,0.09,0,0,Garnet
288,41.19,0.92,21.15,1.29,9.1,0.27,20.31,0,4.45,0.21,0,0,Garnet
289,40.64,0.13,20.09,4.59,9.14,0.51,18.25,0,5.81,0.02,0,0,Garnet
290,40.82,0.13,19.84,5.1,6.87,0.32,20.63,0,5.1,0.03,0,0,Garnet
