PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,NiO,CaO,Na2O,K2O,P2O5,Mineral
15631,43.48,0.38,21.93,0.1,9.53,0.22,20.92,0,4.35,0.08,0,0,Garnet
15632,42.19,0.54,20.13,3.7,6.69,0.27,21.72,0,4.45,0.04,0,0,Garnet
15633,42.35,0.21,19.84,4.2,6.39,0.28,21.27,0,4.91,0.08,0,0,Garnet
15634,41.88,0.7,22.11,0.1,13.21,0.22,17.84,0,4.1,0.17,0,0,Garnet
15635,42.36,0.26,18.9,5.4,6.76,0.3,20.4,0,5.3,0,0,0,Garnet
15636,42.34,0.5,21.75,1.96,7.36,0.3,21.69,0,4.43,0.02,0,0,Garnet
15637,42.28,0.47,21.77,1.59,7.23,0.25,21.37,0,4.16,0.02,0,0,Garnet
15638,42.43,0.52,21.44,2.1,7.39,0.25,20.87,0,4.38,0.07,0,0,Garnet
15639,41.67,0.13,18.41,5.95,6.35,0.28,20.56,0,5.87,0,0,0,Garnet
15640,41.85,0.31,19.41,4.82,5.92,0.18,21.38,0,5.07,0.07,0,0,Garnet
15641,42.66,0.14,20.5,2.97,7.17,0.21,20.93,0,4.73,0.02,0,0,Garnet
15642,42.2,0.54,21.26,1.96,7.47,0.21,21.63,0,4.51,0.06,0,0,Garnet
15643,42.11,0.74,21.86,0.16,10.72,0.23,19.62,0,3.9,0.15,0,0,Garnet
15644,42.66,1.04,21.79,0.12,9.2,0.15,20.97,0,4.23,0.14,0,0,Garnet
15645,42.08,0.19,19.99,4.16,6.82,0.29,21.18,0,4.84,0.02,0,0,Garnet
15646,42.45,1.01,20.88,0.9,8.92,0.2,20.86,0,4.37,0.08,0,0,Garnet
15647,42.45,1,21.64,0.08,10.37,0.24,19.87,0,3.99,0.2,0,0,Garnet
15648,42.19,1.01,21.05,0.86,8.89,0.18,20.96,0,4.36,0.11,0,0,Garnet
15649,42.56,0.1,20.13,3.67,6.53,0.21,21.5,0,4.85,0.01,0,0,Garnet
15650,42.12,0.68,22.09,0,12.52,0.2,18.69,0,3.5,0.14,0,0,Garnet
15651,42.82,0.72,21.98,0.03,12.5,0.22,19.04,0,3.41,0.12,0,0,Garnet
15652,41.19,0.66,22.14,0.05,10.78,0.15,15.47,0,8.45,0.12,0,0,Garnet
15653,42.23,0.09,20.35,4.13,6.64,0.3,21.47,0,4.81,0,0,0,Garnet
15654,42.15,0.91,22.04,0.17,10.6,0.31,20.24,0,3.89,0.06,0,0,Garnet
15655,40.84,0.51,22.26,0.01,13.9,0.27,14.15,0,8.14,0.22,0,0,Garnet
15656,43.24,0.51,21.19,2.63,6.49,0.29,21.72,0,4.53,0.09,0,0,Garnet
15657,42.62,0.21,20.44,4.14,6.41,0.29,21.77,0,4.77,0.01,0,0,Garnet
15658,42.29,0.35,18.32,6.02,6.16,0.2,21.35,0,4.82,0.02,0,0,Garnet
15659,42.45,0.52,21.64,2.05,7.51,0.27,20.88,0,4.5,0.11,0,0,Garnet
15660,42.54,0.82,22.07,0.42,8.53,0.17,20.15,0,5.09,0.05,0,0,Garnet
15661,42.74,0.4,19.76,4.88,6.32,0.27,22.24,0,4.77,0.03,0,0,Garnet
15662,42.63,0.45,20.23,3.79,6.81,0.2,22,0,4.52,0.05,0,0,Garnet
15663,42.85,0.58,22.3,1.21,7.19,0.25,21.95,0,3.96,0.09,0,0,Garnet
15664,42.36,0.47,20.96,3.25,6.71,0.31,21.32,0,4.78,0.09,0,0,Garnet
15665,42.09,0.6,22.62,0,14.69,0.24,16.7,0,4.11,0.15,0,0,Garnet
15666,41.87,0,19.34,5.67,6.59,0.3,20.2,0,5.6,0,0,0,Garnet
15667,42.09,0.28,20.26,4.21,6.56,0.28,21.53,0,4.93,0.01,0,0,Garnet
15668,42.23,1.24,20.74,1.08,8.95,0.18,21.45,0,4.71,0.07,0,0,Garnet
15669,38.44,0.45,21.94,0.29,12.43,0.21,24.58,0,1.3,0,0,0,Garnet
15670,42.7,0.7,22.57,0.05,10.25,0.19,19.9,0,4.11,0.11,0,0,Garnet
15671,42.25,0.26,19.07,5.91,6.32,0.24,20.79,0,5.02,0.04,0,0,Garnet
15672,42.36,0.48,21.93,2.01,7.53,0.24,21.56,0,4.53,0.11,0,0,Garnet
15673,42.36,0.51,21.49,2,7.49,0.23,20.86,0,4.49,0.03,0,0,Garnet
15674,42.68,0.39,20.55,3.92,6.22,0.25,22.09,0,4.64,0.05,0,0,Garnet
15675,42.37,0.41,20.79,3.68,6.84,0.19,22.23,0,4.43,0.01,0,0,Garnet
15676,41.64,0.36,16.76,8.74,6.61,0.3,19.74,0,6.19,0,0,0,Garnet
15677,42.53,0.41,21.15,3.39,6.11,0.27,21.92,0,4.8,0.04,0,0,Garnet
15678,42.93,0.37,21.52,2.65,6.56,0.22,22.12,0,4.6,0,0,0,Garnet
15679,42.58,0.85,22.19,0.68,10.14,0.14,20.91,0,3.73,0.11,0,0,Garnet
15680,42.3,0.26,20.21,4.84,6.81,0.35,21.33,0,5,0.05,0,0,Garnet
15681,42.51,0.25,19.21,6.08,5.97,0.23,21.46,0,5.18,0,0,0,Garnet
15682,42.8,0.24,18.9,6.1,5.93,0.2,21.47,0,5.25,0.02,0,0,Garnet
15683,42.57,0.97,22,0.24,10.19,0.2,20.39,0,4.06,0.13,0,0,Garnet
15684,42.09,0.15,19.89,5.02,6.86,0.29,20.82,0,5.14,0,0,0,Garnet
15685,41.8,0.6,20.31,4.25,6.96,0.2,20.85,0,5.11,0.05,0,0,Garnet
15686,42.25,0.43,20.87,3.48,6.18,0.23,21.48,0,4.73,0.02,0,0,Garnet
15687,42.08,0.87,22.27,0,13.68,0.2,17.8,0,3.69,0.16,0,0,Garnet
15688,42.49,0.51,21.72,2.33,6.41,0.28,21.67,0,4.62,0.04,0,0,Garnet
15689,42.9,0.58,21.09,2.62,6.61,0.22,21.88,0,4.72,0.03,0,0,Garnet
15690,42.29,0.54,20.6,3.7,6.82,0.24,21.1,0,4.47,0.09,0,0,Garnet
15691,42.13,0.22,19.64,5.09,6.24,0.26,21.28,0,5.31,0.03,0,0,Garnet
15692,41.18,0.73,22.55,0.09,12.76,0.17,17.25,0,5.5,0.13,0,0,Garnet
15693,41.66,0.47,18.8,5.53,7.26,0.26,19.99,0,5.27,0,0,0,Garnet
15694,42.33,0.53,22.44,1.48,7.57,0.3,21.83,0,4.23,0.08,0,0,Garnet
15695,42.55,0.22,20.83,3.51,6.59,0.22,21.36,0,4.82,0.01,0,0,Garnet
15696,42.9,0.49,22.27,1.18,6.4,0.19,21.68,0,4.05,0.06,0,0,Garnet
15697,42.58,0.49,21.95,1.96,7.58,0.25,21.11,0,4.5,0.05,0,0,Garnet
