PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt78,39.32,0.02,21.9,28.74,0.14,9.57,0.97,Garnet
Sample1_pt79,39.13,0,21.66,28.29,0.23,9.46,1,Garnet
Sample1_pt80,38.94,0.03,21.71,28.09,0.29,9.4,1.07,Garnet
Sample1_pt81,38.95,0.04,21.79,28.56,0.21,9.59,0.93,Garnet
Sample1_pt82,38.88,0,21.92,28.32,0.16,9.55,0.94,Garnet
Sample1_pt83,37.76,0.01,21.8,28.48,0.21,9.51,0.91,Garnet
Sample1_pt84,38.92,0.03,21.65,28.83,0.25,9.45,0.97,Garnet
Sample1_pt85,39.03,0,21.84,28.36,0.26,9.54,0.93,Garnet
Sample1_pt86,39.13,0,21.96,28.5,0.22,9.4,0.92,Garnet
Sample1_pt87,39.11,0,22.1,28.69,0.22,9.57,0.99,Garnet
Sample1_pt88,39.06,0,21.8,28.65,0.17,9.55,0.96,Garnet
Sample1_pt89,39.29,0,21.91,28.72,0.27,9.39,0.97,Garnet
Sample1_pt90,38.86,0.02,21.86,28.66,0.18,9.29,0.92,Garnet
Sample1_pt91,39.17,0.01,21.86,28.38,0.2,9.51,0.92,Garnet
Sample1_pt92,39.17,0.03,21.94,28.55,0.18,9.42,0.99,Garnet
Sample1_pt93,39.41,0.02,21.88,28.6,0.22,9.47,0.88,Garnet
Sample1_pt94,38.92,0.06,21.88,28.3,0.23,9.32,0.97,Garnet
Sample1_pt95,38.93,0.01,20.94,28.8,0.21,9.03,0.91,Garnet
Sample1_pt96,38.68,0.03,20.86,28.74,0.22,9.17,0.92,Garnet
Sample1_pt97,37.6,0.06,21.85,28.61,0.21,9.46,0.92,Garnet
Sample1_pt98,38.58,0,21.9,28.4,0.23,9.53,0.88,Garnet
Sample1_pt99,39,0.04,22.09,28.83,0.26,9.4,1.01,Garnet
Sample1_pt100,39.08,0.05,22.22,28.46,0.22,9.51,1.01,Garnet
Sample1_pt101,38.66,0.03,21.94,28.03,0.21,9.42,0.93,Garnet
Sample1_pt102,38.85,0.07,22.21,28.48,0.23,9.64,0.91,Garnet
Sample1_pt103,38.7,0.04,21.9,28.66,0.25,9.37,1.07,Garnet
Sample1_pt104,39.17,0.05,21.91,28.44,0.24,9.49,1.01,Garnet
Sample1_pt105,38.93,0,22.02,28.33,0.24,9.5,0.97,Garnet
Sample1_pt106,38.46,0.02,21.91,28.99,0.24,9.54,0.95,Garnet
Sample1_pt107,38.75,0,22.63,28.49,0.16,9.71,1,Garnet
Sample1_pt108,39.02,0,22.03,28.6,0.21,9.58,0.99,Garnet
Sample1_pt109,38.89,0.1,22.02,28.26,0.23,9.56,0.94,Garnet
Sample1_pt110,38.84,0.08,21.9,28.46,0.2,9.69,0.95,Garnet
Sample1_pt111,39.2,0.08,22.09,28.31,0.24,9.77,0.98,Garnet
Sample1_pt112,39.25,0,21.85,28.15,0.21,9.33,0.97,Garnet
Sample1_pt113,38.91,0.12,22.25,28.78,0.23,9.39,0.86,Garnet
Sample1_pt114,38.85,0.04,22.21,29.07,0.25,9.29,1,Garnet
Sample1_pt115,38.89,0,22.04,28.78,0.19,9.76,0.97,Garnet
Sample1_pt116,38.98,0,22.09,28.67,0.16,9.66,0.94,Garnet
Sample1_pt117,38.96,0.01,22.08,28.09,0.21,9.53,0.93,Garnet
Sample1_pt118,38.91,0.08,22.18,28.61,0.24,9.43,0.98,Garnet
Sample1_pt119,39.16,0,22.13,28.63,0.23,9.47,0.96,Garnet
Sample1_pt120,38.92,0.02,22.08,28.34,0.23,9.51,1.02,Garnet
Sample1_pt121,38.48,0.02,22.18,28.52,0.2,9.48,0.95,Garnet
Sample1_pt122,38.43,0.05,22.19,28.2,0.21,9.51,0.99,Garnet
Sample1_pt123,39.05,0,22.05,28.63,0.24,9.44,1,Garnet
Sample1_pt124,39.27,0.02,21.84,28.51,0.24,9.39,1,Garnet
Sample1_pt125,38.76,0.01,22.03,28.9,0.27,9.43,0.99,Garnet
Sample1_pt126,39.17,0.03,22.08,28.49,0.21,9.46,0.9,Garnet
Sample1_pt127,39.04,0,22.17,28.47,0.25,9.42,0.96,Garnet
Sample1_pt128,38.44,0,21.93,28.29,0.2,9.48,0.85,Garnet
Sample1_pt129,39.26,0,22.03,28.62,0.23,9.41,0.92,Garnet
Sample1_pt130,38.21,0.04,21.83,28.58,0.27,9.42,1,Garnet
Sample1_pt131,38.27,0.04,21.83,28.95,0.18,9.25,1.02,Garnet
Sample1_pt132,38.83,0.04,22.39,28.79,0.26,9.6,0.95,Garnet
Sample1_pt133,39.01,0,22.02,28.91,0.23,9.51,0.82,Garnet
Sample1_pt134,39.07,0.07,22.04,28.44,0.21,9.59,0.96,Garnet
Sample1_pt135,39.43,0,21.89,28.1,0.19,9.24,0.93,Garnet
Sample1_pt136,39.04,0.05,21.89,28.48,0.21,9.44,0.95,Garnet
Sample1_pt137,38.85,0.01,22.05,28.62,0.2,9.58,0.88,Garnet
Sample1_pt138,39.1,0.07,21.82,28.69,0.22,9.44,0.92,Garnet
Sample1_pt139,39.05,0.02,22.11,28.75,0.19,9.25,0.91,Garnet
Sample1_pt140,38.87,0,21.93,28.09,0.2,9.78,0.97,Garnet
Sample1_pt141,39.36,0.12,21.85,28.39,0.12,9.4,0.92,Garnet
Sample1_pt142,38.98,0,22.09,28.72,0.2,9.11,0.86,Garnet
Sample1_pt143,38.15,0.03,22,28.65,0.21,9.38,0.94,Garnet
Sample1_pt144,39.16,0.04,21.86,29.44,0.29,8.42,1.06,Garnet
Sample1_pt145,39.09,0.02,22.01,29.52,0.28,8.39,1.11,Garnet
Sample1_pt146,39.09,0.08,21.87,29.41,0.31,8.58,1.09,Garnet
Sample1_pt147,38.28,0,21.78,29.55,0.28,8.59,1.05,Garnet
Sample1_pt148,38.33,0.01,21.82,29.82,0.36,8.5,1.04,Garnet
Sample1_pt149,38.49,0,21.76,29.79,0.32,8.42,1.14,Garnet
Sample1_pt150,38.32,0,21.84,29.04,0.3,8.33,1.11,Garnet
Sample1_pt151,38.44,0,21.63,29.52,0.3,8.53,1.05,Garnet
Sample1_pt152,38.71,0,21.55,29.35,0.35,8.49,1.08,Garnet
Sample1_pt153,38.89,0,22.23,29.43,0.32,8.78,1.08,Garnet
Sample1_pt154,38.59,0,21.84,29.28,0.21,8.33,1.12,Garnet
Sample1_pt155,38.32,0,21.58,29.65,0.28,8.54,1.06,Garnet
Sample1_pt156,37.95,0.06,21.69,29.67,0.35,8.43,1.07,Garnet
Sample1_pt157,38.51,0.01,21.68,29.62,0.31,8.36,1.06,Garnet
Sample1_pt158,38.59,0.01,21.62,29.42,0.3,8.42,1.01,Garnet
Sample1_pt159,38.54,0,21.83,29.85,0.25,8.68,1.09,Garnet
Sample1_pt160,38.45,0.03,21.82,29.46,0.3,8.58,1.03,Garnet
Sample1_pt161,38.67,0,21.77,29.42,0.31,8.52,1.05,Garnet
Sample1_pt162,37.94,0.01,21.44,29.71,0.25,8.45,1.12,Garnet
Sample1_pt163,39.19,0,21.68,29.23,0.32,8.3,1.04,Garnet
Sample1_pt164,38.82,0,22.1,29.35,0.28,8.61,1.01,Garnet
Sample1_pt165,38.75,0.07,21.86,29.75,0.26,8.53,1.03,Garnet
Sample1_pt166,38.74,0.04,21.67,29.29,0.26,8.75,1.08,Garnet
Sample1_pt167,37.95,0,21.8,29.53,0.3,8.53,0.99,Garnet
Sample1_pt168,38.19,0,21.5,29.54,0.37,8.47,1.02,Garnet
Sample1_pt169,38.41,0.03,21.64,29.44,0.32,8.58,1.04,Garnet
Sample1_pt170,39.64,0.01,21.33,29.05,0.2,8.37,1.16,Garnet
Sample1_pt171,38.93,0,21.94,29.7,0.27,8.73,1.08,Garnet
Sample1_pt172,38.79,0,21.91,29.63,0.34,8.47,1.06,Garnet
Sample1_pt173,38.35,0.03,21.65,29.54,0.28,8.61,1.04,Garnet
Sample1_pt174,38.76,0.01,21.87,29.47,0.33,8.56,1.08,Garnet
Sample1_pt175,38.36,0.03,21.81,29.48,0.29,8.49,0.97,Garnet
Sample1_pt176,38.38,0,21.87,29.41,0.26,8.78,1.09,Garnet
Sample1_pt177,38.07,0.04,21.69,29.38,0.37,8.59,1.09,Garnet
Sample1_pt178,38.44,0,21.63,29.32,0.31,8.66,1.04,Garnet
Sample1_pt179,38.42,0,21.73,29.09,0.26,8.43,1.06,Garnet
Sample1_pt180,38.27,0,21.72,28.95,0.3,8.6,1.11,Garnet
Sample1_pt181,38.51,0,21.87,29.19,0.3,8.41,1.06,Garnet
Sample1_pt182,38.34,0.02,21.9,29.36,0.25,8.47,0.99,Garnet
Sample1_pt183,38.65,0.05,21.73,29.38,0.35,8.5,1.06,Garnet
Sample1_pt184,38.82,0.09,21.39,29.53,0.22,8.48,0.92,Garnet
Sample1_pt185,38.29,0,21.4,28.94,0.34,8.42,1.06,Garnet
Sample1_pt186,38.61,0.05,21.7,29.35,0.31,8.66,1.05,Garnet
Sample1_pt187,38.34,0.03,21.71,29.67,0.22,8.59,1,Garnet
Sample1_pt188,38.03,0.06,21.66,29.44,0.23,8.56,1.09,Garnet
Sample1_pt189,38.24,0.02,21.53,29.79,0.28,8.45,1.14,Garnet
Sample1_pt190,40.68,0,21.11,27.83,0.26,8.08,1,Garnet
Sample1_pt191,38.62,0.02,21.52,29.61,0.27,8.51,1.07,Garnet
Sample1_pt192,38.55,0,21.56,29.74,0.25,8.4,1.05,Garnet
Sample1_pt193,38.48,0,21.54,29.39,0.31,8.61,1.04,Garnet
Sample1_pt194,38.98,0.02,22.2,28.88,0.26,8.53,1.09,Garnet
Sample1_pt195,38.42,0.01,21.73,29.6,0.25,8.48,0.99,Garnet
Sample1_pt196,38.4,0.06,21.95,29.73,0.31,8.68,1.08,Garnet
Sample1_pt197,38.1,0.05,21.79,29.45,0.29,8.49,1.02,Garnet
Sample1_pt198,38.49,0.01,21.77,29.52,0.28,8.36,1.03,Garnet
Sample1_pt199,38.24,0,21.59,29.36,0.3,8.51,0.98,Garnet
Sample1_pt200,38.16,0,21.55,28.65,0.3,8.47,1.16,Garnet
Sample1_pt201,38.53,0,21.53,29.56,0.22,8.6,1.03,Garnet
Sample1_pt202,39.65,0.06,21.95,28.99,0.3,8.78,1.04,Garnet
Sample1_pt203,37.97,0,21.59,28.92,0.34,8.54,1.01,Garnet
Sample1_pt204,39.26,0.03,21.57,29.04,0.2,8.42,1.04,Garnet
Sample1_pt205,38.28,0.05,21.62,29.46,0.23,8.41,1.04,Garnet
Sample1_pt206,37.88,0,21.41,29.64,0.3,8.47,0.98,Garnet
Sample1_pt207,38.34,0.03,21.47,29.21,0.31,8.56,1.09,Garnet
Sample1_pt208,38.26,0,21.71,29.5,0.28,8.66,1.08,Garnet
Sample1_pt209,38.52,0,21.68,29.21,0.26,8.65,1.01,Garnet
Sample1_pt210,38.02,0.04,21.73,29.81,0.28,8.35,1.12,Garnet
Sample1_pt211,37.89,0.05,21.83,29.55,0.3,8.52,1.09,Garnet
Sample1_pt212,38.15,0.01,21.64,29.33,0.21,8.42,1.07,Garnet
Sample1_pt213,37.96,0.08,21.58,29.47,0.35,8.42,1,Garnet
Sample1_pt214,37.75,0,21.72,29.47,0.24,8.31,0.99,Garnet
Sample1_pt215,37.83,0.06,21.63,29.45,0.22,8.43,1.01,Garnet
Sample1_pt216,37.74,0.04,21.69,29.23,0.29,8.34,1.01,Garnet
Sample1_pt217,37.91,0,21.46,29.06,0.33,8.49,1.05,Garnet
Sample1_pt218,37.79,0.05,21.78,29.37,0.31,8.29,1.02,Garnet
Sample1_pt219,38.07,0.03,22.15,28.92,0.25,8.67,1.03,Garnet
Sample1_pt220,38.06,0.02,21.61,29.14,0.31,8.24,1.13,Garnet
Sample1_pt221,38.08,0.02,21.31,29.46,0.27,8.43,1.06,Garnet
Sample1_pt222,37.91,0.01,21.74,29.41,0.32,8.7,1.11,Garnet
Sample1_pt223,37.78,0.05,21.65,29.86,0.26,8.53,0.96,Garnet
Sample1_pt224,38.48,0.02,21.88,29.91,0.26,8.23,1.1,Garnet
Sample1_pt225,38.13,0,21.7,29.41,0.28,8.46,1.08,Garnet
Sample1_pt226,37.54,0.01,21.7,29.47,0.26,8.5,1.05,Garnet
Sample1_pt227,38.34,0.1,21.35,29.26,0.22,8.47,1.08,Garnet
Sample1_pt228,37.62,0.07,21.55,29.24,0.2,8.48,1.08,Garnet
Sample1_pt229,38.24,0,21.64,29.23,0.32,8.43,1.02,Garnet
Sample1_pt230,38.29,0,21.42,29.5,0.3,8.53,1,Garnet
Sample1_pt231,38.6,0.06,21.71,29.1,0.24,8.44,1.12,Garnet
Sample1_pt232,37.76,0.02,21.75,29.38,0.23,8.59,1,Garnet
Sample1_pt233,38.14,0.04,21.74,29.82,0.31,8.49,1.09,Garnet
Sample1_pt234,38.26,0,21.9,29.68,0.27,8.66,1.12,Garnet
Sample1_pt235,38.41,0.03,21.78,29.35,0.29,8.6,1.15,Garnet
Sample1_pt236,38.29,0,21.67,29.7,0.29,8.54,1.06,Garnet
Sample1_pt237,38.01,0,21.57,29.39,0.27,8.52,1.08,Garnet
Sample1_pt238,38.65,0.05,21.56,29.24,0.29,8.38,1.09,Garnet
Sample1_pt239,38.52,0.06,21.34,29.14,0.28,8.38,1.09,Garnet
Sample1_pt240,38.49,0.07,21.9,29.73,0.27,8.69,1.04,Garnet
Sample1_pt241,38.16,0,21.74,29.01,0.28,8.31,1.09,Garnet
Sample1_pt242,38.1,0.05,21.75,29.27,0.23,8.55,1.24,Garnet
Sample1_pt243,37.82,0.02,21.52,29.3,0.25,8.46,1.19,Garnet
Sample1_pt244,38.89,0,21.63,28.9,0.27,8.51,1.11,Garnet
Sample1_pt245,38.62,0.03,21.78,29,0.38,8.37,1.09,Garnet
