PointID,Al2O3,BaO,CO2,CaO,Cr2O3,Fe2O3,FeO,K2O,MgO,MnO,Na2O,NiO,P2O5,SO3,SiO2,SrO,TiO2,F,Cl,Mineral
P13822,29.2648,0,0,1.0315,0.0161,0,10.906,0.0566,6.1547,0.0346,2.2568,0,0,0,35.3054,0,0.3482,0,0,Tourmaline
P13823,29.637,0,0,0.9871,0,0,11.1264,0.0674,5.6551,0.0449,2.2848,0,0,0,35.1735,0,0.3647,0,0,Tourmaline
P13824,32.99,0,0,1.11,0,0,3.7,1.58,8.58,0,1.27,0,0,0,36.79,0,0.87,0,0,Tourmaline
P13825,32.68,0,0,1.23,0,0,3.23,0.53,8.93,0,1.93,0,0,0,36.86,0,0.46,0,0,Tourmaline
P13826,32.48,0,0,1.27,0,0,3.32,0.44,8.7,0,1.84,0,0,0,37.16,0,0.48,0,0,Tourmaline
P13827,32.29,0,0,1.15,0,0,3.89,1.43,8.13,0.03,1.31,0,0,0,36.85,0,0.97,0,0,Tourmaline
P13828,32.05,0,0,1.57,0,0,3.24,0.41,9.08,0.03,1.81,0,0,0,37.27,0,0.53,0,0,Tourmaline
P13829,32.25,0,0,1.36,0,0,3.57,0.6,8.28,0.02,1.66,0,0,0,37.04,0,0.6,0,0,Tourmaline
P13830,32.98,0,0,0.92,0,0,3.14,2.04,7.41,0,1.22,0,0,0,36.8,0,1.03,0,0,Tourmaline
P13831,32.64,0,0,1.29,0,0,3.44,0.61,8.73,0,1.91,0,0,0,37.25,0,0.54,0,0,Tourmaline
P13832,33.09,0,0,1.29,0,0,3.4,0.62,8.52,0,1.86,0,0,0,36.35,0,0.56,0,0,Tourmaline
P13833,32.29,0,0,0.89,0,0,3.51,2.29,8.14,0,1.06,0,0,0,36.27,0,0.78,0,0,Tourmaline
P13834,33.41,0,0,1.15,0,0,3.35,0.93,8.36,0,1.58,0,0,0,36.69,0,0.8,0,0,Tourmaline
P13835,33.06,0,0,1.34,0,0,3.38,0.56,8.63,0,1.83,0,0,0,37.21,0,0.52,0,0,Tourmaline
P13836,33.21,0,0,0.79,0,0,2.85,2.38,8.15,0,1.05,0,0,0,36.04,0,0.83,0,0,Tourmaline
P13837,32.73,0,0,1.25,0,0,3.33,0.5,9.07,0,1.84,0,0,0,37.04,0,0.45,0,0,Tourmaline
P13838,33.09,0,0,0.99,0,0,3.23,2.3,8.32,0,0.95,0,0,0,36.82,0,0.75,0,0,Tourmaline
