PointID,Al2O3,BaO,CO2,CaO,Cr2O3,Fe2O3,FeO,K2O,MgO,MnO,Na2O,NiO,P2O5,SO3,SiO2,SrO,TiO2,F,Cl,Mineral
P00001,19.35,0,0,0.38,0,0,0,0.16,0.01,0,11.19,0.01,0.04,0,69.42,0,0.04,0,0,Albite
P00002,20.38,0,0,1.23,0,0,2.23,0.05,0.54,0.01,10.41,0,0,0,62.95,0,0.01,0,0,Albite
P00003,20.47,0,0,1.69,0.05,0,0.38,0.01,0.01,0.02,11.21,0,0,0,66.12,0,0.08,0,0,Albite
P00004,21.33,0.21,0,3.44,0.14,0,0.21,0.24,0.07,0.19,9.51,0,0.07,0,63.56,0,0.14,0.54,0.02,Albite
P00005,14.33,0,0,12.03,0.65,0,4.07,0.03,17.39,0.07,3.1,0.08,0,0,42.96,0,1.8,0,0,Amphibole
P00006,13.35,0,0,11.71,0.74,0,4.09,0.05,17.01,0.06,2.97,0.09,0,0,43.03,0,2.39,0,0,Amphibole
P00007,14.12,0,0,12.02,0.76,0,4.35,0.07,17.53,0.06,3.04,0.1,0,0,42.95,0,3.02,0,0,Amphibole
P00008,12.83,0,0,12.14,0.84,0,4.39,0.03,17.14,0.07,2.88,0.11,0,0,43.01,0,4.65,0,0,Amphibole
P00009,12.15,0,0,11.89,1.26,0,4.08,0.02,16.42,0.05,2.75,0.09,0,0,42.13,0,4.87,0,0,Amphibole
P00010,12.42,0,0,12.15,1.35,0,4.03,0.15,15.79,0.06,3.38,0.09,0,0,41.9,0,5.12,0,0,Amphibole
P00011,13.16,0,0,12.25,0.8,0,4.06,0.63,16.82,0.07,3.57,0.06,0,0,44.2,0,1.88,0,0,Amphibole
P00012,14.07,0,0,11.94,1.04,0,4.19,0,17.25,0.02,3.68,0.08,0,0,42.97,0,2.28,0,0,Amphibole
P00013,13.15,0,0,12.54,1.1,0,3.89,0.02,18,0.06,3.38,0.12,0,0,43.18,0,2.06,0,0,Amphibole
P00014,13.78,0,0,11.49,0.8,0,3.89,0.17,16.72,0.05,3.92,0.07,0,0,43.86,0,3.98,0,0,Amphibole
P00015,13.29,0,0,11.57,1.15,0,4.14,0.17,16.73,0.07,3.42,0.1,0,0,43.3,0,2.81,0,0,Amphibole
P00016,15.5,0,0,10.6,0.58,0,4.18,0.18,17.3,0.09,3.72,0,0,0,42.1,0,2.85,0,0,Amphibole
P00017,14.77,0,0,10.44,1.05,0,4.13,0.01,18,0.08,3.86,0.13,0,0,43.41,0,1.7,0,0,Amphibole
P00018,13.22,0,0,10.63,2.34,0,3.74,1.1,18.1,0.02,3.42,0,0,0,44.2,0,0.47,0,0,Amphibole
P00019,14.68,0,0,11.2,1.93,0,3.73,1.21,17.92,0.01,3.08,0.12,0,0,44.28,0,0.52,0,0,Amphibole
P00020,15.03,0,0,11.26,1.43,0,4.15,1.1,17.74,0.04,3.06,0.12,0,0,43.75,0,0.27,0,0,Amphibole
P00021,13.35,0,0,10.64,2.03,0,4.06,0.91,18.24,0,3.28,0.12,0,0,44.49,0,0.36,0,0,Amphibole
P00022,14.016,0,0,12.353,0,0,10.705,1.524,14.813,0,2.466,0,0,0,39.922,0,1.411,0,0,Amphibole
P00023,14.544,0,0,12.135,0,0,10.789,1.234,14.572,0,2.606,0,0,0,41.304,0,1.607,0,0,Amphibole
P00024,14.114,0,0,12.385,0,0,10.513,1.455,14.83,0,2.429,0,0,0,41.409,0,1.553,0,0,Amphibole
P00025,13.945,0,0,12.267,0,0,10.9,1.438,14.762,0,2.431,0,0,0,41.502,0,1.577,0,0,Amphibole
P00026,14.049,0,0,12.295,0,0,10.767,1.505,14.847,0,2.382,0,0,0,41.102,0,1.604,0,0,Amphibole
P00027,14.258,0,0,12.36,0,0,11.005,1.52,14.695,0,2.388,0,0,0,41.785,0,1.734,0,0,Amphibole
P00028,14.049,0,0,12.35,0,0,10.777,1.548,14.676,0,2.383,0,0,0,41.386,0,1.517,0,0,Amphibole
P00029,12.247,0,0,11.548,0,0,11.885,1.003,14.497,0,2.736,0,0,0,42.424,0,2.1,0,0,Amphibole
P00030,13.586,0,0,11.867,0,0,12.14,1.303,14.15,0,2.665,0,0,0,41.626,0,1.612,0,0,Amphibole
P00031,13.848,0,0,12.278,0,0,10.839,1.266,14.742,0,2.48,0,0,0,41.484,0,1.55,0,0,Amphibole
P00032,13.838,0,0,12.201,0,0,10.967,1.172,14.774,0,2.48,0,0,0,41.754,0,1.525,0,0,Amphibole
P00033,12.378,0,0,11.75,0,0,12.159,1.032,14.356,0,2.825,0,0,0,42.879,0,2.299,0,0,Amphibole
P00034,14.812,0,0,11.955,0,0,13.07,1.125,12.877,0,2.557,0,0,0,40.323,0,2.364,0,0,Amphibole
P00035,1.878,0,0,19.402,0,0,9.362,0.076,15.741,0,0.422,0,0,0,52.677,0,0.606,0,0,Amphibole
P00036,14.662,0,0,12.022,0,0,13.047,1.172,12.906,0,2.59,0,0,0,40.321,0,2.451,0,0,Amphibole
P00037,0.969,0,0,1.443,0,0,17.362,0.076,25.987,0,0.126,0,0,0,54.644,0,0.371,0,0,Amphibole
P00038,12.859,0,0,11.512,0,0,12.999,1.101,13.346,0,2.727,0,0,0,41.365,0,2.969,0,0,Amphibole
P00039,14.74,0,0,11.939,0,0,13.073,1.184,12.839,0,2.53,0,0,0,40.071,0,2.352,0,0,Amphibole
P00040,14.768,0,0,11.985,0,0,12.944,1.151,13.021,0,2.514,0,0,0,40.203,0,2.361,0,0,Amphibole
P00041,13.334,0,0,11.575,0,0,13.788,1.164,12.585,0,2.577,0,0,0,40.869,0,2.748,0,0,Amphibole
P00042,14.385,0,0,11.863,0,0,13.423,1.135,12.846,0,2.555,0,0,0,40.748,0,2.655,0,0,Amphibole
P00043,13.394,0,0,11.481,0,0,14.021,1.062,12.671,0,2.692,0,0,0,41.272,0,2.796,0,0,Amphibole
P00044,12.581,0,0,11.295,0,0,13.664,1.092,13.105,0,2.715,0,0,0,42.032,0,3.051,0,0,Amphibole
P00045,14.644,0,0,11.966,0,0,11.74,1.338,13.716,0,2.536,0,0,0,40.955,0,2.153,0,0,Amphibole
P00046,14.064,0,0,12.021,0,0,10.98,1.565,14.381,0,2.406,0,0,0,41.372,0,1.987,0,0,Amphibole
P00047,14.422,0,0,11.993,0,0,11.695,1.316,13.923,0,2.492,0,0,0,41.183,0,2.146,0,0,Amphibole
P00048,12.013,0,0,11.456,0,0,11.601,1.157,14.782,0,2.585,0,0,0,43.585,0,1.95,0,0,Amphibole
P00049,14.587,0,0,12.58,0,0,10.452,1.351,13.925,0,2.168,0,0,0,40.661,0,1.965,0,0,Amphibole
P00050,14.799,0,0,12.146,0,0,10.315,1.316,13.889,0,2.17,0,0,0,40.125,0,1.941,0,0,Amphibole
P00051,14.619,0,0,12.288,0,0,10.537,1.337,13.94,0,2.233,0,0,0,40.288,0,1.903,0,0,Amphibole
P00052,14.809,0,0,12.408,0,0,10.513,1.334,14.045,0,2.107,0,0,0,40.151,0,1.914,0,0,Amphibole
P00053,14.615,0,0,12.332,0,0,10.283,1.33,13.857,0,2.102,0,0,0,39.829,0,1.866,0,0,Amphibole
P00054,14.774,0,0,12.363,0,0,10.08,1.313,13.915,0,2.119,0,0,0,39.925,0,1.888,0,0,Amphibole
P00055,14.676,0,0,12.377,0,0,10.561,1.312,14.06,0,2.091,0,0,0,40.116,0,1.901,0,0,Amphibole
P00056,14.93,0,0,12.421,0,0,11.23,1.094,13.114,0,2.445,0,0,0,40.116,0,2.101,0,0,Amphibole
P00057,15.27,0,0,12.515,0,0,11.414,1.151,13.313,0,2.417,0,0,0,40.141,0,2.141,0,0,Amphibole
P00058,14.862,0,0,12.245,0,0,12.212,1.173,12.276,0,2.63,0,0,0,39.811,0,2.053,0,0,Amphibole
P00059,15.209,0,0,12.263,0,0,12.076,1.177,12.43,0,2.247,0,0,0,39.785,0,2.074,0,0,Amphibole
P00060,17.735,0,0,11.125,0,0,22.23,0.021,14.997,0,1.653,0,0,0,24.92,0,5.302,0,0,Amphibole
P00061,14.604,0,0,12.285,0,0,11.435,1.139,13.14,0,2.297,0,0,0,40.101,0,2.004,0,0,Amphibole
P00062,11.597,0,0,11.238,0,0,11.746,1.006,13.444,0,2.833,0,0,0,42.095,0,2.821,0,0,Amphibole
P00063,14.612,0,0,12.144,0,0,11.364,1.179,13.079,0,2.172,0,0,0,40.209,0,1.968,0,0,Amphibole
P00064,14.988,0,0,12.136,0,0,11.298,1.198,13.188,0,2.226,0,0,0,40.087,0,2.009,0,0,Amphibole
P00065,14.528,0,0,12.351,0,0,10.85,1.549,13.991,0,2.292,0,0,0,41.619,0,1.9,0,0,Amphibole
P00066,14.758,0,0,12.29,0,0,10.788,1.475,13.732,0,2.271,0,0,0,41.308,0,1.89,0,0,Amphibole
P00067,14.739,0,0,12.391,0,0,11.111,1.483,13.758,0,2.207,0,0,0,40.941,0,1.978,0,0,Amphibole
P00068,14.497,0,0,12.303,0,0,10.8,1.517,13.815,0,2.244,0,0,0,40.737,0,1.895,0,0,Amphibole
P00069,14.82,0,0,12.296,0,0,11.128,1.478,13.587,0,2.398,0,0,0,40.89,0,1.884,0,0,Amphibole
P00070,14.547,0,0,12.286,0,0,11.642,1.483,13.267,0,2.52,0,0,0,40.955,0,2.095,0,0,Amphibole
P00071,14.757,0,0,12.392,0,0,10.824,1.502,13.711,0,2.204,0,0,0,41.188,0,1.916,0,0,Amphibole
P00072,14.674,0,0,12.407,0,0,10.732,1.514,13.482,0,2.225,0,0,0,41.336,0,2.082,0,0,Amphibole
P00073,14.668,0,0,12.228,0,0,11.147,1.568,13.209,0,2.223,0,0,0,41.439,0,2.053,0,0,Amphibole
P00074,14.844,0,0,12.347,0,0,11.221,1.592,13.278,0,2.186,0,0,0,40.887,0,2.068,0,0,Amphibole
P00075,11.401,0,0,10.852,0,0,14.585,1.328,12.376,0,2.455,0,0,0,43.247,0,2.732,0,0,Amphibole
P00076,11.53,0,0,10.776,0,0,13.783,1.318,12.619,0,2.492,0,0,0,42.557,0,2.832,0,0,Amphibole
P00077,11.37,0,0,10.975,0,0,13.647,1.392,12.673,0,2.713,0,0,0,42.835,0,2.73,0,0,Amphibole
P00078,11.369,0,0,10.935,0,0,13.638,1.354,12.884,0,2.394,0,0,0,43.212,0,2.699,0,0,Amphibole
P00079,14.489,0,0,12.124,0,0,9.332,1.31,14.572,0,2.419,0,0,0,41.86,0,1.724,0,0,Amphibole
P00080,14.394,0,0,12.19,0,0,9.753,1.354,14.418,0,2.303,0,0,0,41.633,0,1.723,0,0,Amphibole
P00081,14.093,0,0,12.146,0,0,10.187,1.315,14.282,0,2.349,0,0,0,41.239,0,2.022,0,0,Amphibole
P00082,14.403,0,0,12.079,0,0,10.258,1.293,14.279,0,2.319,0,0,0,41.026,0,1.846,0,0,Amphibole
P00083,11.016,0,0,10.982,0.027,0,12.404,0.953,13.14,0.421,2.743,0,0,0,42.266,0,4.045,0,0,Amphibole
P00084,11.299,0,0,11.221,0,0,12.584,0.95,13.358,0.382,2.712,0,0,0,42.368,0,3.671,0,0,Amphibole
P00085,11.277,0,0,11.165,0.035,0,12.101,0.981,13.367,0.419,2.665,0,0,0,42.062,0,3.764,0,0,Amphibole
P00086,11.473,0,0,11.101,0.011,0,12.273,0.928,13.315,0.403,2.674,0,0,0,42.188,0,3.833,0,0,Amphibole
P00087,12.025,0,0,11.339,0.032,0,12.261,0.958,13.449,0.382,2.642,0,0,0,41.966,0,2.766,0,0,Amphibole
P00088,12.051,0,0,11.205,0.015,0,12.471,1.007,13.338,0.361,2.623,0,0,0,41.916,0,3.078,0,0,Amphibole
P00089,12.091,0,0,11.16,0.002,0,11.517,0.955,13.626,0.426,2.635,0,0,0,42.212,0,2.578,0,0,Amphibole
P00090,14.808,0,0,12.071,0,0,12.126,1.187,12.705,0.176,2.348,0,0,0,40.01,0,1.978,0,0,Amphibole
P00091,14.557,0,0,12.187,0.002,0,11.904,1.201,12.953,0.14,2.207,0,0,0,40.13,0,2.006,0,0,Amphibole
P00092,14.737,0,0,12.449,0.015,0,11.749,1.221,12.875,0.103,2.344,0,0,0,40.011,0,2.016,0,0,Amphibole
P00093,14.686,0,0,12.314,0.008,0,11.897,1.146,13.02,0.103,2.246,0,0,0,39.951,0,2.045,0,0,Amphibole
P00094,14.613,0,0,12.164,0,0,11.933,1.169,13.068,0.111,2.259,0,0,0,40.082,0,2.043,0,0,Amphibole
P00095,14.447,0,0,12.195,0,0,11.851,1.117,12.927,0.182,2.29,0,0,0,40.215,0,2.085,0,0,Amphibole
P00096,14.565,0,0,12.042,0.004,0,11.727,1.124,12.971,0.203,2.375,0,0,0,39.88,0,2.076,0,0,Amphibole
P00097,14.868,0,0,12.184,0.009,0,12.097,1.093,12.943,0.121,2.206,0,0,0,39.687,0,2.013,0,0,Amphibole
P00098,11.159,0,0,11.186,0,0,11.978,0.951,13.781,0.321,2.638,0,0,0,42.249,0,3.416,0,0,Amphibole
P00099,14.659,0,0,12.305,0.003,0,11.938,1.13,13.153,0.105,2.324,0,0,0,40.106,0,1.924,0,0,Amphibole
P00100,14.862,0,0,12.26,0.018,0,11.882,1.126,13.104,0.084,2.283,0,0,0,40.026,0,1.97,0,0,Amphibole
P00101,14.533,0,0,12.085,0.003,0,11.941,1.106,12.988,0.098,2.223,0,0,0,39.799,0,1.998,0,0,Amphibole
P00102,14.71,0,0,12.106,0.006,0,11.934,1.13,13.064,0.129,2.311,0,0,0,39.849,0,2.059,0,0,Amphibole
P00103,14.962,0,0,12.218,0.018,0,12.129,1.114,12.931,0.153,2.328,0,0,0,39.615,0,2.032,0,0,Amphibole
P00104,14.727,0,0,12.192,0.001,0,12.079,1.133,13.106,0.163,2.429,0,0,0,39.695,0,1.954,0,0,Amphibole
P00105,14.825,0,0,12.251,0.008,0,12.032,1.097,12.914,0.213,2.208,0,0,0,39.882,0,2.003,0,0,Amphibole
P00106,14.72,0,0,12.142,0.011,0,11.959,1.119,12.838,0.134,2.367,0,0,0,39.54,0,1.986,0,0,Amphibole
P00107,14.76,0,0,12.195,0.008,0,11.655,1.124,13.081,0.106,2.289,0,0,0,39.782,0,2.033,0,0,Amphibole
P00108,14.649,0,0,12.058,0,0,11.717,1.1,13.055,0.156,2.229,0,0,0,39.574,0,2.007,0,0,Amphibole
P00109,14.707,0,0,12.075,0.011,0,11.713,1.111,12.988,0.108,2.274,0,0,0,39.68,0,1.992,0,0,Amphibole
P00110,14.613,0,0,12.141,0.024,0,11.741,1.127,13.13,0.113,2.224,0,0,0,39.989,0,1.994,0,0,Amphibole
P00111,14.456,0,0,12.185,0.028,0,11.901,1.188,13.048,0.129,2.284,0,0,0,40.167,0,2.02,0,0,Amphibole
P00112,14.685,0,0,12.194,0.032,0,11.804,1.185,12.987,0.156,2.291,0,0,0,39.989,0,1.994,0,0,Amphibole
P00113,14.675,0,0,12.197,0.011,0,11.685,1.189,13.218,0.126,2.236,0,0,0,39.775,0,2.03,0,0,Amphibole
P00114,14.508,0,0,12.307,0,0,11.524,1.197,13.048,0.1,2.249,0,0,0,39.731,0,1.966,0,0,Amphibole
P00115,14.577,0,0,12.179,0.01,0,11.809,1.181,13.071,0.068,2.25,0,0,0,39.857,0,1.918,0,0,Amphibole
P00116,14.506,0,0,12.237,0.017,0,11.787,1.155,13.042,0.113,2.334,0,0,0,39.92,0,1.893,0,0,Amphibole
P00117,14.591,0,0,12.209,0.005,0,11.991,1.172,13.061,0.169,2.231,0,0,0,39.958,0,1.984,0,0,Amphibole
P00118,14.442,0,0,12.254,0,0,11.667,1.16,13.077,0.108,2.216,0,0,0,39.964,0,1.942,0,0,Amphibole
P00119,14.691,0,0,12.239,0.014,0,11.743,1.137,13.03,0.148,2.266,0,0,0,40.258,0,1.974,0,0,Amphibole
P00120,14.736,0,0,12.232,0.004,0,11.79,1.132,13.121,0.15,2.331,0,0,0,40.027,0,1.968,0,0,Amphibole
P00121,14.621,0,0,12.236,0,0,11.931,1.142,13.151,0.164,2.228,0,0,0,40.095,0,1.99,0,0,Amphibole
P00122,14.707,0,0,12.047,0.018,0,11.86,1.154,13.259,0.2,2.327,0,0,0,40.304,0,2.028,0,0,Amphibole
P00123,14.426,0,0,12.078,0,0,11.903,1.113,13.17,0.132,2.235,0,0,0,39.755,0,1.947,0,0,Amphibole
P00124,11.361,0,0,11.077,0.003,0,11.946,1.031,13.616,0.285,2.505,0,0,0,42.122,0,3.223,0,0,Amphibole
P00125,11.75,0,0,11.328,0.001,0,11.658,0.991,13.512,0.193,2.465,0,0,0,40.371,0,2.374,0,0,Amphibole
P00126,11.697,0,0,11.386,0.027,0,11.587,0.963,13.548,0.229,2.245,0,0,0,40.106,0,2.439,0,0,Amphibole
P00127,14.5,0,0,12.273,0.005,0,11.997,1.202,13.062,0.179,2.325,0,0,0,39.783,0,1.957,0,0,Amphibole
P00128,14.461,0,0,12.1,0.003,0,11.51,1.16,13.071,0.156,2.228,0,0,0,39.876,0,1.991,0,0,Amphibole
P00129,14.466,0,0,12.136,0,0,11.572,1.208,13.042,0.087,2.25,0,0,0,39.592,0,1.961,0,0,Amphibole
P00130,14.532,0,0,12.148,0,0,11.826,1.162,13.09,0.076,2.223,0,0,0,40.233,0,1.923,0,0,Amphibole
P00131,5.337,0,0,4.775,0.002,0,10.195,0.811,18.577,0.824,0.575,0,0,0,55.408,0,0.356,0,0,Amphibole
P00132,13.837,0,0,11.747,0.011,0,12.071,1.09,12.72,0.327,2.44,0,0,0,39.329,0,3.005,0,0,Amphibole
P00133,14.677,0,0,12.142,0.027,0,11.768,1.14,13.119,0.047,2.189,0,0,0,39.65,0,2.025,0,0,Amphibole
P00134,14.8,0,0,12.187,0.017,0,11.876,1.078,12.903,0.153,2.305,0,0,0,39.176,0,1.975,0,0,Amphibole
P00135,14.865,0,0,12.123,0,0,12.034,1.139,13.049,0.15,2.252,0,0,0,39.518,0,1.966,0,0,Amphibole
P00136,14.483,0,0,12.066,0,0,11.784,1.158,13.033,0.113,2.175,0,0,0,39.511,0,2.039,0,0,Amphibole
P00137,14.527,0,0,12.098,0,0,11.747,1.12,13.12,0.156,2.167,0,0,0,39.423,0,1.926,0,0,Amphibole
P00138,14.652,0,0,12.247,0.018,0,11.887,1.16,13.135,0.179,2.233,0,0,0,39.348,0,1.929,0,0,Amphibole
P00139,14.639,0,0,12.128,0.017,0,11.656,1.125,12.977,0.113,2.299,0,0,0,39.444,0,1.977,0,0,Amphibole
P00140,1.487,0,0,19.959,0,0,8.567,0.003,15.345,0.635,0.343,0,0,0,51.658,0,0.349,0,0,Amphibole
P00141,2.125,0,0,19.898,0,0,9.213,0,14.923,0.762,0.444,0,0,0,51.556,0,0.494,0,0,Amphibole
P00142,13.506,0,0,12.042,0.056,0,10.459,1.345,14.316,0.138,2.212,0,0,0,40.676,0,1.845,0,0,Amphibole
P00143,13.49,0,0,12.223,0.03,0,9.799,1.469,14.542,0.103,2.099,0,0,0,40.566,0,1.852,0,0,Amphibole
P00144,13.52,0,0,12.221,0.034,0,9.759,1.474,14.814,0.093,2.025,0,0,0,40.656,0,1.793,0,0,Amphibole
P00145,13.49,0,0,12.108,0.041,0,9.849,1.45,14.808,0.106,2.131,0,0,0,40.845,0,1.763,0,0,Amphibole
P00146,13.49,0,0,12.126,0.058,0,9.581,1.475,14.632,0.111,2.093,0,0,0,40.711,0,1.746,0,0,Amphibole
P00147,13.485,0,0,11.922,0.035,0,9.992,1.388,14.629,0.14,2.157,0,0,0,40.241,0,1.758,0,0,Amphibole
P00148,13.536,0,0,12.106,0.038,0,10.007,1.35,14.695,0.09,2.182,0,0,0,40.616,0,1.745,0,0,Amphibole
P00149,13.475,0,0,12.037,0.033,0,10.076,1.392,14.655,0.088,2.065,0,0,0,40.414,0,1.767,0,0,Amphibole
P00150,13.513,0,0,12.182,0.018,0,10.202,1.476,14.687,0.146,2.232,0,0,0,40.309,0,1.705,0,0,Amphibole
P00151,14.062,0,0,12.098,0.035,0,10.444,1.322,14.09,0.069,2.177,0,0,0,40.639,0,1.782,0,0,Amphibole
P00152,14.027,0,0,12.066,0.022,0,10.433,1.303,13.891,0.09,2.211,0,0,0,40.116,0,1.79,0,0,Amphibole
P00153,10.186,0,0,11.25,0.013,0,9.568,0.803,15.705,0.125,2.574,0,0,0,44.363,0,1.526,0,0,Amphibole
P00154,13.849,0,0,12.203,0.025,0,10.242,1.298,14.643,0.082,2.067,0,0,0,40.735,0,1.75,0,0,Amphibole
P00155,13.599,0,0,11.98,0.035,0,9.996,1.3,14.457,0.125,2.12,0,0,0,40.227,0,1.685,0,0,Amphibole
P00156,13.826,0,0,12.174,0.036,0,9.847,1.225,14.442,0.104,2.143,0,0,0,40.094,0,1.804,0,0,Amphibole
P00157,13.832,0,0,12.007,0.011,0,9.912,1.278,14.635,0.093,2.242,0,0,0,40.66,0,1.737,0,0,Amphibole
P00158,14.087,0,0,12.053,0.021,0,9.927,1.373,14.543,0.13,2.123,0,0,0,40.413,0,1.741,0,0,Amphibole
P00159,13.847,0,0,12.047,0.021,0,9.979,1.269,14.633,0.085,2.14,0,0,0,40.206,0,1.719,0,0,Amphibole
P00160,14.125,0,0,12.349,0.032,0,9.784,1.244,14.579,0.127,2.204,0,0,0,40.843,0,1.629,0,0,Amphibole
P00161,13.97,0,0,12.295,0.031,0,9.799,1.286,14.472,0.109,2.174,0,0,0,40.754,0,1.815,0,0,Amphibole
P00162,14.057,0,0,12.168,0.027,0,9.927,1.251,14.423,0.095,2.131,0,0,0,40.249,0,1.653,0,0,Amphibole
P00163,14,0,0,12.015,0.035,0,9.871,1.208,14.424,0.058,2.239,0,0,0,40.533,0,1.682,0,0,Amphibole
P00164,14.182,0,0,12.084,0.026,0,10.047,1.25,14.363,0.098,2.159,0,0,0,40.48,0,1.788,0,0,Amphibole
P00165,13.973,0,0,12.184,0.008,0,10.171,1.347,14.323,0.077,2.113,0,0,0,40.538,0,1.757,0,0,Amphibole
P00166,11.368,0,0,11.122,0,0,11.13,1.068,13.765,0.138,2.234,0,0,0,40.88,0,2.165,0,0,Amphibole
P00167,14.124,0,0,12.189,0.026,0,10.547,1.371,14.622,0.066,2.103,0,0,0,41.099,0,1.764,0,0,Amphibole
P00168,17.453,0,0,11.23,0.054,0,18.716,0.017,16.441,0.147,1.593,0,0,0,28.839,0,3.416,0,0,Amphibole
P00169,17.991,0,0,11.077,0.042,0,19.97,0.024,15.978,0.17,1.506,0,0,0,27.762,0,3.47,0,0,Amphibole
P00170,7.497,0,0,22.068,0.034,0,6.425,0.048,13.745,0.048,0.824,0,0,0,47.095,0,1.4,0,0,Amphibole
P00171,20.345,0,0,2.03,0,0,0.663,11.321,0.132,0,2.093,0,0,0,62.61,0,0.145,0,0,Amphibole
P00172,13.213,0,0,11.458,0.017,0,11.792,1.221,13.662,0.14,2.998,0,0,0,41.066,0,1.844,0,0,Amphibole
P00173,0.125,0,0,0.315,0,0,22.647,0.015,35.173,1.123,0.03,0,0,0,40.407,0,0.071,0,0,Amphibole
P00174,11.346,0,0,11.235,0.042,0,11.187,0.941,13.629,0.276,2.592,0,0,0,41.943,0,4.622,0,0,Amphibole
P00175,11.925,0,0,11.341,0.045,0,11.38,0.967,13.588,0.22,2.817,0,0,0,41.271,0,3.763,0,0,Amphibole
P00176,13.522,0,0,12.25,0.029,0,9.369,1.499,14.957,0.096,2.067,0,0,0,41.232,0,1.67,0,0,Amphibole
P00177,13.704,0,0,12.231,0.01,0,9.486,1.48,15.025,0.088,2.213,0,0,0,41.11,0,1.739,0,0,Amphibole
P00178,13.665,0,0,12.272,0.03,0,9.417,1.512,14.909,0.138,2.101,0,0,0,41.191,0,1.679,0,0,Amphibole
P00179,13.672,0,0,12.22,0.024,0,9.404,1.478,14.745,0.04,2.151,0,0,0,41.284,0,1.72,0,0,Amphibole
P00180,13.782,0,0,12.164,0.009,0,9.83,1.468,14.589,0.066,2.173,0,0,0,40.941,0,1.697,0,0,Amphibole
P00181,13.694,0,0,12.259,0.024,0,9.815,1.419,14.983,0.085,2.222,0,0,0,41.296,0,1.7,0,0,Amphibole
P00182,13.484,0,0,12.244,0.023,0,9.633,1.481,14.876,0.117,2.162,0,0,0,41.364,0,1.69,0,0,Amphibole
P00183,13.818,0,0,12.099,0.026,0,9.429,1.427,14.747,0.08,2.066,0,0,0,41.148,0,1.698,0,0,Amphibole
P00184,13.752,0,0,12.112,0.025,0,9.406,1.421,14.678,0.12,2.323,0,0,0,41.179,0,1.7,0,0,Amphibole
P00185,13.653,0,0,12.217,0.027,0,9.603,1.422,15.049,0.072,2.118,0,0,0,41.459,0,1.591,0,0,Amphibole
P00186,13.642,0,0,12.129,0.013,0,9.339,1.428,15.088,0.088,2.153,0,0,0,41.148,0,1.654,0,0,Amphibole
P00187,13.641,0,0,12.046,0.037,0,9.66,1.436,14.795,0.091,2.2,0,0,0,41.355,0,1.68,0,0,Amphibole
P00188,13.756,0,0,12.059,0.023,0,9.555,1.601,14.529,0.093,2.099,0,0,0,41.135,0,1.716,0,0,Amphibole
P00189,13.709,0,0,12.182,0.033,0,9.385,1.47,15.017,0.019,2.191,0,0,0,41.433,0,1.695,0,0,Amphibole
P00190,13.991,0,0,12.253,0.018,0,9.589,1.528,15.052,0.114,2.129,0,0,0,41.723,0,1.717,0,0,Amphibole
P00191,13.719,0,0,12.124,0.04,0,9.524,1.705,14.896,0.077,2.002,0,0,0,40.865,0,1.747,0,0,Amphibole
P00192,13.594,0,0,11.756,0.021,0,10.469,1.6,13.888,0.144,2.233,0,0,0,40.533,0,1.736,0,0,Amphibole
P00193,8.7,0,0,10.8,0,0,14.4,0.2,14.8,0.24,1.88,0,0,0,47.1,0,1.67,0,0,Amphibole
P00194,12.8,0,0,11.1,0,0,14.7,0.39,12.9,0.2,2.32,0,0,0,43.1,0,2.85,0,0,Amphibole
P00195,13.5,0,0,11.1,0,0,14,0.37,13,0.17,2.42,0,0,0,42.6,0,2.89,0,0,Amphibole
P00196,9.1,0,0,10.8,0,0,14.8,0.32,14.5,0.23,1.86,0,0,0,46.8,0,1.78,0,0,Amphibole
P00197,10.6,0,0,11,0,0,15.8,0.21,13.7,0.25,2.13,0,0,0,45,0,1.5,0,0,Amphibole
P00198,10.9,0,0,10.7,0,0,16.8,0.36,12.6,0.19,2.28,0,0,0,43.7,0,2.49,0,0,Amphibole
P00199,11.3,0,0,10.9,0,0,16.8,0.4,12.4,0.22,2.29,0,0,0,44,0,2.68,0,0,Amphibole
P00200,10.9,0,0,10.9,0,0,16.2,0.22,13.5,0.24,2.08,0,0,0,45.3,0,1.51,0,0,Amphibole
P00201,13.2,0,0,11.4,0,0,12.4,0.27,14.6,0.13,2.4,0,0,0,43.7,0,2.27,0,0,Amphibole
P00202,13.1,0,0,11.1,0,0,12.2,0.25,14.8,0.09,2.49,0,0,0,44,0,2.07,0,0,Amphibole
P00203,11.3,0,0,10.9,0,0,15,0.32,13.6,0.2,2.34,0,0,0,44.4,0,2.14,0,0,Amphibole
P00204,13.9,0,0,11.1,0,0,15.1,0.37,12.7,0.21,2.54,0,0,0,42.4,0,2.13,0,0,Amphibole
P00205,10,0,0,11,0,0,15.2,0.31,14,0.23,2.01,0,0,0,46,0,1.99,0,0,Amphibole
P00206,11.3,0,0,10.7,0,0,14.3,0.29,13.9,0.17,2.23,0,0,0,43.8,0,1.99,0,0,Amphibole
P00207,13.1,0,0,11,0,0,12.8,0.32,14.5,0.12,2.44,0,0,0,43.4,0,2.28,0,0,Amphibole
P00208,9.7,0,0,10.8,0,0,15,0.29,14.3,0.22,1.97,0,0,0,46,0,1.94,0,0,Amphibole
P00209,12.3,0,0,10.9,0,0,15.4,0.33,13.4,0.18,2.44,0,0,0,43.4,0,1.95,0,0,Amphibole
