PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Fe2O3,Mineral
Sample1_pt72,37.24,0.11,20.44,29.93,0.9,4.91,6.88,0.24,Garnet
Sample1_pt73,37.72,0.18,20.49,29.46,0.84,4.91,6.82,0.24,Garnet
Sample1_pt74,37.61,0.04,20.67,29.61,0.92,4.96,6.59,0.24,Garnet
Sample1_pt75,37.5,0.04,20.74,29.37,0.94,5.08,6.79,0.24,Garnet
Sample1_pt76,37.78,0.08,20.66,29.49,0.88,5.12,6.81,0.24,Garnet
Sample1_pt77,37.42,0.06,20.46,29.45,0.87,5.09,6.78,0.24,Garnet
Sample1_pt78,37.6,0.01,20.53,29.19,0.96,4.98,6.68,0.24,Garnet
Sample1_pt79,37.59,0.12,20.3,30.05,0.83,4.98,6.67,0,Garnet
Sample1_pt80,37.58,0.16,20.2,29.7,0.86,4.89,6.74,0,Garnet
Sample1_pt81,37.37,0.15,20.31,29.68,0.88,4.94,6.74,0,Garnet
Sample1_pt82,37.2,0.15,20.17,29.98,0.91,4.94,6.8,0,Garnet
Sample1_pt83,37.81,0.26,20.17,29.89,0.86,5.07,6.54,0,Garnet
Sample1_pt84,37.09,0.2,20.06,30.09,0.88,4.87,6.52,0,Garnet
Sample1_pt85,37.77,0.28,20.35,29.82,0.91,4.97,6.57,0,Garnet
Sample1_pt86,37.45,0.3,20.44,29.77,0.84,5.02,6.61,0,Garnet
Sample1_pt87,37.62,0.16,20.29,29.84,1,5.03,6.49,0,Garnet
Sample1_pt88,37.94,0.17,20.28,29.69,0.86,5.05,6.61,0,Garnet
Sample1_pt89,36.72,0.14,19.82,30.76,0.8,4.88,6.71,0,Garnet
Sample1_pt90,37.39,0.34,20.13,29.91,0.86,5.05,6.55,0,Garnet
Sample1_pt91,37.58,0.21,20.31,29.47,0.84,4.86,6.6,0,Garnet
Sample1_pt92,37.38,0.18,20.25,29.84,0.87,4.92,6.64,0,Garnet
Sample1_pt93,37.41,0.12,20.14,29.92,0.88,4.96,6.82,0,Garnet
Sample1_pt94,37.18,0.09,20.19,29.69,0.91,4.94,6.55,0,Garnet
Sample1_pt95,37.04,0.08,19.87,29.61,0.9,4.94,6.57,0,Garnet
Sample1_pt96,37.17,0.02,20.07,29.67,0.86,5.07,6.72,0,Garnet
