PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt119,38.09,0.13,21.14,0.02,28.12,0.32,2.83,9.94,Garnet
Sample1_pt120,38.52,0.12,21.44,0.01,28.77,0.44,2.7,9.18,Garnet
Sample1_pt121,37.81,0.15,21.14,0.04,27.96,0.62,2.48,10.03,Garnet
Sample1_pt122,37.99,0.13,21.01,0.05,28.43,0.74,2.36,9.67,Garnet
Sample1_pt123,37.89,0.18,21.26,0.04,28.3,0.86,2.34,9.85,Garnet
Sample1_pt124,38,0.19,21.01,0,28.14,0.97,2.38,9.87,Garnet
Sample1_pt125,37.72,0.08,21.41,0,28.23,1.04,2.37,9.28,Garnet
Sample1_pt126,37.71,0.1,21.17,0.02,28.08,1.03,2.43,9.73,Garnet
Sample1_pt127,37.91,0.09,21.27,0.03,27.95,1.02,2.24,10.14,Garnet
Sample1_pt128,37.79,0.1,21.02,0,27.66,1.12,2.2,10.14,Garnet
Sample1_pt129,37.95,0.16,21.02,0,28.43,1.11,2.3,9.96,Garnet
Sample1_pt130,38.33,0.17,21.2,0,28.36,1.14,2.13,9.87,Garnet
Sample1_pt131,37.93,0.13,21.27,0.01,28.19,1.35,2.03,9.99,Garnet
Sample1_pt132,38.24,0.17,21,0,28.47,1.31,2.16,9.3,Garnet
Sample1_pt133,37.97,0.22,21.06,0.04,27.31,1.33,2.09,10.22,Garnet
Sample1_pt134,37.26,0.16,20.75,0.04,27.63,1.44,2.04,10.43,Garnet
Sample1_pt135,37.82,0.15,21.13,0.03,27.7,1.64,2.11,10.27,Garnet
Sample1_pt136,37.89,0.17,21.16,0,28.2,1.93,1.89,9.81,Garnet
Sample1_pt137,37.49,0.21,21.36,0.03,27.6,2.24,1.86,9.8,Garnet
Sample1_pt138,38.23,0.19,21.19,0.06,27.87,2.23,1.84,9.99,Garnet
Sample1_pt139,37.8,0.17,20.78,0.07,27.49,2.32,1.77,10.22,Garnet
Sample1_pt140,38.04,0.18,21.38,0.06,27.07,2.25,1.71,10.55,Garnet
Sample1_pt141,38.15,0.2,21.15,0.05,27.42,2.35,1.64,10.31,Garnet
Sample1_pt142,38,0.2,21.41,0.03,27.05,2.46,1.7,10.44,Garnet
Sample1_pt143,37.91,0.17,21.41,0,27.72,2.75,1.71,9.61,Garnet
Sample1_pt144,37.71,0.08,20.92,0.06,27.21,2.92,1.73,9.63,Garnet
Sample1_pt145,37.81,0.2,21.01,0.07,26.69,2.84,1.49,11.12,Garnet
Sample1_pt146,37.9,0.09,20.91,0.05,26.26,3.07,1.59,10.64,Garnet
Sample1_pt147,37.67,0.18,20.94,0,26.17,3.52,1.57,10.22,Garnet
Sample1_pt148,37.7,0.1,21.16,0.02,26.14,3.67,1.47,10.63,Garnet
Sample1_pt149,37.73,0.11,21.04,0,26.39,3.68,1.53,10.29,Garnet
Sample1_pt150,38.16,0.21,21.05,0.01,26.13,3.96,1.51,10.53,Garnet
Sample1_pt151,38.25,0.2,20.93,0,25.85,4.02,1.52,10.57,Garnet
Sample1_pt152,37.48,0.21,20.85,0,25.88,4.2,1.42,10.39,Garnet
Sample1_pt153,37.83,0.13,21.22,0.02,25.69,4.58,1.52,10.02,Garnet
Sample1_pt154,38.03,0.16,20.99,0.02,25.64,4.46,1.45,10.44,Garnet
Sample1_pt155,37.84,0.15,21.16,0,25.65,4.95,1.31,10.4,Garnet
Sample1_pt156,37.95,0.2,20.94,0.02,24.88,4.74,1.26,11.12,Garnet
Sample1_pt157,37.81,0.13,21.11,0.07,25.1,4.82,1.43,10.54,Garnet
Sample1_pt158,37.63,0.13,21.2,0.04,25.21,5.1,1.28,10.6,Garnet
Sample1_pt159,38.12,0.11,21.1,0.05,25.1,4.86,1.39,10.61,Garnet
Sample1_pt160,37.65,0.15,21.01,0.04,24.71,4.85,1.39,10.6,Garnet
Sample1_pt161,37.74,0.27,21.08,0.01,24.22,4.8,1.4,11.01,Garnet
Sample1_pt162,38.08,0.33,20.93,0,24.83,4.88,1.21,10.79,Garnet
Sample1_pt163,37.71,0.32,21.01,0,24.43,4.94,1.3,10.83,Garnet
Sample1_pt164,37.69,0.15,21.08,0.04,24.16,5.05,1.23,11.02,Garnet
Sample1_pt165,38.24,0.1,21.11,0.01,24.84,5.16,1.28,10.51,Garnet
Sample1_pt166,37.8,0.19,21.02,0.05,24.49,5.19,1.34,10.95,Garnet
Sample1_pt167,37.36,0.22,21.14,0.01,23.67,4.9,1.24,11.52,Garnet
Sample1_pt168,37.84,0.16,21.39,0.02,24.63,5.33,1.18,10.52,Garnet
Sample1_pt169,37.89,0.17,21.27,0,24.45,5.41,1.45,10.68,Garnet
Sample1_pt170,37.59,0.12,21.07,0.02,24.66,4.82,1.56,10.41,Garnet
Sample1_pt171,37.21,0.13,21.01,0.06,25.16,4.29,1.69,10.11,Garnet
Sample1_pt172,38.13,0.19,20.89,0,25.87,4.23,1.73,9.98,Garnet
Sample1_pt173,37.84,0.14,21.06,0,25.14,3.59,1.63,10.72,Garnet
Sample1_pt174,37.23,0.16,20.87,0.01,25.71,3.85,1.43,10.45,Garnet
Sample1_pt175,37.46,0.16,21.03,0.01,25.81,3.91,1.56,10.3,Garnet
Sample1_pt176,37.64,0.11,21.03,0,26.01,3.42,1.56,9.96,Garnet
Sample1_pt177,37.47,0.06,21.14,0,27.32,3.48,1.68,9.36,Garnet
Sample1_pt178,37.6,0.05,21.24,0.02,26.6,3.31,1.69,10.23,Garnet
Sample1_pt179,37.33,0.23,21.06,0.04,26.61,3.19,1.66,10.18,Garnet
Sample1_pt180,37.32,0.18,21.04,0.02,26.47,3.07,1.64,10.21,Garnet
Sample1_pt181,37.68,0.15,21.38,0.02,25.66,2.56,1.68,10.94,Garnet
Sample1_pt182,37.96,0.18,21.13,0.04,26.87,2.96,1.63,10.32,Garnet
Sample1_pt183,37.52,0.17,21.18,0.02,26.93,2.82,1.79,10.02,Garnet
Sample1_pt184,37.83,0.08,20.94,0.03,25.88,2.8,1.62,10.82,Garnet
Sample1_pt185,37.61,0.14,21.05,0,27.23,2.62,1.79,10,Garnet
