PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt255,37.85,0.19,20.65,0.06,29.01,2.24,1.84,8.49,Garnet
Sample1_pt256,37.42,0.18,20.49,0.02,29.14,1.97,1.65,8.46,Garnet
Sample1_pt257,37.5,0.21,20.39,0,29.59,1.86,1.77,8.85,Garnet
Sample1_pt258,37.5,0.02,20.91,0,29.98,1.76,2.32,7.59,Garnet
Sample1_pt259,37.82,0.17,20.61,0.01,29.68,1.32,1.87,8.58,Garnet
Sample1_pt260,37.88,0.09,20.48,0.03,29.3,1.07,2.17,9.1,Garnet
Sample1_pt261,37.65,0.13,20.82,0,30.55,0.86,1.87,8.82,Garnet
Sample1_pt262,37.87,0.19,20.81,0,29.71,0.83,1.81,9.39,Garnet
Sample1_pt263,37.98,0.14,20.75,0,29.83,0.65,2.38,9.08,Garnet
Sample1_pt264,37.79,0.09,21.04,0.05,30.46,0.57,2.21,8.42,Garnet
Sample1_pt265,38.13,0.1,21.11,0.01,29.95,0.47,2.23,9.05,Garnet
Sample1_pt266,37.8,0.09,20.9,0.04,29.98,0.55,2.29,8.78,Garnet
Sample1_pt267,37.94,0.14,21.17,0,30.21,0.39,2.46,8.34,Garnet
Sample1_pt268,38.37,0,21.34,0.04,30.88,0.31,2.45,8.46,Garnet
Sample1_pt269,38.28,0.12,21.12,0.01,30.67,0.28,2.53,8.61,Garnet
Sample1_pt270,37.95,0.02,20.91,0.01,29.39,0.32,2.59,9.01,Garnet
Sample1_pt271,38.33,0.08,21.02,0,30.63,0.33,2.69,8.24,Garnet
Sample1_pt272,38.48,0.06,21.11,0.03,29.81,0.34,2.91,8.46,Garnet
Sample1_pt273,38.29,0.07,21.2,0,28.34,0.22,3.52,8.81,Garnet
Sample1_pt274,38.18,0.07,21.24,0,27.73,0.31,2.99,10.49,Garnet
Sample1_pt275,38.4,0.08,21.39,0,28.1,0.23,3.57,9.1,Garnet
Sample1_pt276,38.31,0,20.79,0.01,28.27,0.21,3.48,8.77,Garnet
Sample1_pt277,38.52,0.06,21.31,0,28.35,0.26,3.31,9.26,Garnet
Sample1_pt278,38.49,0.02,21.29,0,27.97,0.2,3.7,8.86,Garnet
Sample1_pt279,38.67,0,21.69,0.02,26.51,0.08,4.67,8.56,Garnet
Sample1_pt280,38.75,0.01,22.05,0,27.63,0.19,4.4,8.57,Garnet
Sample1_pt281,38.4,0,21.25,0,28.45,0.27,3.35,8.94,Garnet
Sample1_pt282,38.28,0,21.15,0.01,27.92,0.17,3.49,8.99,Garnet
Sample1_pt283,38.47,0.03,21.64,0,28.07,0.25,3.38,8.99,Garnet
Sample1_pt284,38.26,0.05,21.22,0.04,28.31,0.35,2.94,9.49,Garnet
Sample1_pt285,37.97,0.12,21.15,0,28.83,0.44,2.93,9.34,Garnet
Sample1_pt286,38.05,0.02,21,0.08,28.51,0.27,2.64,9.63,Garnet
Sample1_pt287,37.99,0.09,21.12,0.01,30.06,0.34,2.69,8.39,Garnet
Sample1_pt288,38.03,0.07,20.81,0.02,29.4,0.25,2.44,9.49,Garnet
Sample1_pt289,37.83,0.08,20.93,0,29.9,0.26,2.39,8.9,Garnet
Sample1_pt290,38.27,0.09,20.88,0,30.33,0.33,2.29,8.63,Garnet
Sample1_pt291,38.21,0.18,20.91,0.01,30.1,0.33,2.19,8.64,Garnet
Sample1_pt292,37.83,0.06,20.54,0.01,30.1,0.43,2.16,8.53,Garnet
Sample1_pt293,38.34,0.06,20.75,0.04,30.67,0.45,2.42,7.84,Garnet
Sample1_pt294,37.71,0.14,21.08,0,29.11,0.57,2.59,9.08,Garnet
Sample1_pt295,38.24,0.1,20.91,0.01,29.8,0.64,2.35,8.81,Garnet
Sample1_pt296,37.87,0.21,20.97,0.03,29.94,0.74,2.07,8.63,Garnet
Sample1_pt297,37.84,0.06,20.82,0,30.71,0.91,2.25,8.08,Garnet
Sample1_pt298,37.82,0.17,20.8,0.01,29.86,1.04,1.96,8.8,Garnet
Sample1_pt299,37.96,0.06,20.99,0.09,30.42,1.34,2.05,8.1,Garnet
Sample1_pt300,37.96,0.11,20.77,0.01,29.33,1.47,1.73,9.35,Garnet
Sample1_pt301,37.66,0.18,20.66,0,29.32,1.73,1.9,8.6,Garnet
Sample1_pt302,37.9,0.16,20.66,0,28.73,2.13,1.68,9.38,Garnet
Sample1_pt303,37.79,0.13,20.48,0.02,29.17,2.64,1.63,8.68,Garnet
